,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.718,-1.717,-0.135,9.503,102.637,-0.24,106.467,15.476,-3.598,-19.303,28.618,63.732,58.069,864.368,10.559,128.035,0.558,1786.472,86.473,289.572,25.14,0.89,0.22,-1.761,35.561,265.228,26.152,-83.203,-4.56,-1.755,-11.109
RM,-1.717,3.127,2.025,-124.994,-433.95,-0.281,-334.26,-3.242,-2.992,-54.11,-43.064,-190.831,-190.889,-1397.068,-41.769,-195.699,-0.632,-5075.406,-160.013,661.484,613.248,3.401,0.466,3.185,-6.877,-111.561,0.705,154.788,-3.584,-3.085,-73.035
RMI,-0.135,2.025,4.195,-191.361,-1001.82,-0.547,-340.36,-5.186,-11.288,-16.25,-14.887,-184.976,-166.183,-561.416,-33.121,250.215,-2.361,-1215.918,-81.288,842.136,577.181,13.97,2.211,5.462,-23.091,655.168,-20.065,-11.59,-2.587,-3.43,-13.047
Emigranti,9.503,-124.994,-191.361,11319.815,50919.78,58.026,16675.829,-177.685,719.121,1608.045,955.125,10495.777,9737.49,34690.784,2123.369,1161.116,78.297,97496.584,5602.538,-60148.28,-43597.729,-311.878,-89.539,-197.92,694.02,-23087.003,3549.597,-1069.793,264.317,180.496,-4011.052
Imigranti,102.637,-433.95,-1001.82,50919.78,405578.882,96.734,52809.63,8862.777,1900.482,-37938.165,2066.873,49080.215,32218.524,135200.043,7306.978,-52677.943,1100.932,-1014369.256,17340.143,23278.519,-32066.27,693.148,-714.883,-1460.331,23701.543,-204979.629,41513.836,41255.018,-2679.581,-1478.267,-97571.42
RS,-0.24,-0.281,-0.547,58.026,96.734,2.75,-210.613,-12.212,27.571,-19.163,-24.363,-177.456,-156.949,-1608.398,-61.029,-69.763,-0.814,-5696.701,-73.224,-456.466,-175.648,-21.387,0.461,-0.99,108.699,15.67,304.347,90.988,-6.241,-0.666,-256.943
Sal,106.467,-334.26,-340.36,16675.829,52809.63,-210.613,75633.867,-620.779,-1801.964,17850.067,6941.142,47034.311,46311.745,319418.96,13175.262,21054.062,118.68,1416113.955,26463.252,-133862.109,-108657.201,1059.217,-176.675,-297.256,-16366.291,-21302.254,-39614.352,-29691.337,2204.001,1083.908,51324.702
CSom,15.476,-3.242,-5.186,-177.685,8862.777,-12.212,-620.779,623.107,-114.047,-2500.343,76.772,367.68,-355.794,4683.96,-79.353,-2354.14,42.061,-63268.124,105.328,18709.994,9719.862,112.797,-13.316,-40.247,1301.973,-3047.239,1346.304,1795.855,-238.78,-133.531,-3948.829
AjSoc,-3.598,-2.992,-11.288,719.121,1900.482,27.571,-1801.964,-114.047,291.916,-170.778,-260.928,-1720.249,-1525.852,-16783.692,-619.501,-1776.525,-4.479,-59085.56,-789.809,-5135.426,-1839.07,-259.484,1.172,-18.993,1130.435,-1202.156,2980.156,1052.093,-62.346,-0.308,-2303.623
Pensie,-19.303,-54.11,-16.25,1608.045,-37938.165,-19.163,17850.067,-2500.343,-170.778,14266.567,1425.602,7292.324,10383.67,56005.123,2894.431,13485.002,-158.899,599653.578,5240.478,-89928.854,-53343.068,-275.325,38.293,109.239,-8960.337,15976.242,-16052.024,-15412.55,1389.323,766.187,31201.094
PopScolara,28.618,-43.064,-14.887,955.125,2066.873,-24.363,6941.142,76.772,-260.928,1425.602,927.93,4518.251,4457.574,38359.715,1273.562,5215.734,6.077,151712.917,3221.769,-6566.2,-8223.125,201.641,-4.261,-20.171,-1310.885,4108.125,-3504.175,-3863.488,154.922,67.826,4450.588
PaturiUS,63.732,-190.831,-184.976,10495.777,49080.215,-177.456,47034.311,367.68,-1720.249,7292.324,4518.251,33855.767,31661.719,230133.323,9663.747,22330.987,125.113,860062.509,17852.904,-59692.215,-59788.891,1843.394,-131.205,-115.594,-11173.705,-16047.405,-26057.913,-16139.359,1251.43,441.618,23344.73
Medici,58.069,-190.889,-166.183,9737.49,32218.524,-156.949,46311.745,-355.794,-1525.852,10383.67,4457.574,31661.719,30655.855,218733.824,9226.809,24204.801,63.271,924488.347,17410.063,-77513.633,-67868.147,1509.823,-100.64,-76.649,-12018.119,-7708.989,-26753.818,-18847.854,1464.204,597.068,28883.048
VolumeB,864.368,-1397.068,-561.416,34690.784,135200.043,-1608.398,319418.96,4683.96,-16783.692,56005.123,38359.715,230133.323,218733.824,1839906.034,68398.193,224423.5,534.161,7009691.832,137254.551,-210213.391,-314521.77,15537.831,-462.148,-251.42,-85376.67,78223.82,-213073.055,-152830.716,8378.42,2735.305,209721.753
SpectatoriS,10.559,-41.769,-33.121,2123.369,7306.978,-61.029,13175.262,-79.353,-619.501,2894.431,1273.562,9663.747,9226.809,68398.193,2951.197,8360.742,17.02,283780.229,4980.761,-18377.071,-17436.893,656.685,-28.084,8.7,-4265.178,-1836.978,-9357.217,-5452.27,460.826,159.465,8874.414
VizitatoriM,128.035,-195.699,250.215,1161.116,-52677.943,-69.763,21054.062,-2354.14,-1776.525,13485.002,5215.734,22330.987,24204.801,224423.5,8360.742,104489.98,-304.508,1077797.734,20104.749,-81277.615,-83945.3,3889.95,192.319,606.102,-14436.955,100453.668,-16964.128,-31525.624,1718.267,387.768,12386.637
SportiviL,0.558,-0.632,-2.361,78.297,1100.932,-0.814,118.68,42.061,-4.479,-158.899,6.077,125.113,63.271,534.161,17.02,-304.508,4.038,-3710.322,30.11,816.889,379.123,4.484,-2.194,-4.703,75.171,-637.544,60.135,150.103,-12.831,-7.017,-247.289
PIB,1786.472,-5075.406,-1215.918,97496.584,-1014369.256,-5696.701,1416113.955,-63268.124,-59085.56,599653.578,151712.917,860062.509,924488.347,7009691.832,283780.229,1077797.734,-3710.322,38849582.056,538420.43,-3124409.252,-2373768.285,40256.763,203.963,3799.467,-539594.985,814899.767,-1154026.612,-919177.629,67038.035,30973.813,1605971.849
SalariatiC,86.473,-160.013,-81.288,5602.538,17340.143,-73.224,26463.252,105.328,-789.809,5240.478,3221.769,17852.904,17410.063,137254.551,4980.761,20104.749,30.11,538420.43,11903.067,-37079.438,-38449.852,810.418,-32.763,-74.03,-4983.311,8757.845,-11731.958,-13018.919,644.028,267.521,13593.627
PAgrVeg,289.572,661.484,842.136,-60148.28,23278.519,-456.466,-133862.109,18709.994,-5135.426,-89928.854,-6566.2,-59692.215,-77513.633,-210213.391,-18377.071,-81277.615,816.889,-3124409.252,-37079.438,854969.462,517705.96,4409.437,72.82,-82.514,43034.783,11079.208,48115.715,77022.918,-9134.836,-5259.347,-133407.098
PAgrAnim,25.14,613.248,577.181,-43597.729,-32066.27,-175.648,-108657.201,9719.862,-1839.07,-53343.068,-8223.125,-59788.891,-67868.147,-314521.77,-17436.893,-83945.3,379.123,-2373768.285,-38449.852,517705.96,342304.54,663.179,93.272,36.33,28915.836,-7713.401,36642.628,58177.153,-5701.798,-3056.774,-78429.571
ServAgr,0.89,3.401,13.97,-311.878,693.148,-21.387,1059.217,112.797,-259.484,-275.325,201.641,1843.394,1509.823,15537.831,656.685,3889.95,4.484,40256.763,810.418,4409.437,663.179,377.726,-1.139,32.878,-993.36,1396.533,-1970.028,-531.218,46.274,-28.011,-58.545
Silvicultura,0.22,0.466,2.211,-89.539,-714.883,0.461,-176.675,-13.316,1.172,38.293,-4.261,-131.205,-100.64,-462.148,-28.084,192.319,-2.194,203.963,-32.763,72.82,93.272,-1.139,1.703,2.791,-2.3,528.961,31.43,-60.725,0.63,0.501,40.867
SupLoc,-1.761,3.185,5.462,-197.92,-1460.331,-0.99,-297.256,-40.247,-18.993,109.239,-20.171,-115.594,-76.649,-251.42,8.7,606.102,-4.703,3799.467,-74.03,-82.514,36.33,32.878,2.791,10.808,-172.741,799.943,-215.005,-101.223,15.608,2.686,172.674
DrumuriM,35.561,-6.877,-23.091,694.02,23701.543,108.699,-16366.291,1301.973,1130.435,-8960.337,-1310.885,-11173.705,-12018.119,-85376.67,-4265.178,-14436.955,75.171,-539594.985,-4983.311,43034.783,28915.836,-993.36,-2.3,-172.741,10389.167,-5911.689,20782.135,10897.751,-1161.862,-465.867,-24822.149
Innoptari,265.228,-111.561,655.168,-23087.003,-204979.629,15.67,-21302.254,-3047.239,-1202.156,15976.242,4108.125,-16047.405,-7708.989,78223.82,-1836.978,100453.668,-637.544,814899.767,8757.845,11079.208,-7713.401,1396.533,528.961,799.943,-5911.689,199751.415,-4284.08,-39221.73,699.409,265.495,25626.906
