,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.651,0.305,0.449,-11.942,-1.106,0.123,75.833,27.142,-1.139,41.707,11.827,49.539,50.498,857.535,8.215,76.311,-0.442,2896.54,24.538,-332.21,136.188,-7.288,0.193,-0.088,-17.525,105.436,324.814,22.8,4.134,0.956,-32.258
RM,0.305,0.654,0.564,-20.416,-12.827,0.368,-124.523,-7.243,4.363,19.493,-3.454,-1.638,12.656,-551.142,13.093,120.822,-1.093,-2785.964,-40.004,518.143,75.325,1.586,0.003,-0.281,-2.685,235.839,-9.486,24.877,-1.416,-3.234,284.244
RMI,0.449,0.564,3.186,-10.446,-16.241,1.606,-553.997,39.041,18.379,-43.433,-38.887,-188.671,-221.154,-2427.6,-26.488,4.574,-2.832,-16779.87,-136.322,595.756,667.403,-11.856,0.683,-1.395,-11.183,-417.143,256.375,106.232,-13.867,-16.791,99.834
Emigranti,-11.942,-20.416,-10.446,778.74,309.38,-4.409,-602.481,869.934,-98.281,-2010.967,-190.777,-1727.086,-2034.299,-14587.282,-705.733,-5184.849,15.145,-46611.839,263.007,-8664.426,2024.337,22.051,4.5,4.984,148.867,-9366.396,1054.798,-1201.55,-48.963,6.691,-9048.923
Imigranti,-1.106,-12.827,-16.241,309.38,338.264,-12.935,6022.902,38.967,-151.197,596.415,354.085,1474.575,1147.739,35660.104,-77.296,-1353.867,31.938,164344.667,1688.385,-18833.807,-3308.92,-114.574,-1.315,8.559,-107.358,-2721.666,2049.361,-321.683,121.162,140.308,-6540.183
RS,0.123,0.368,1.606,-4.409,-12.935,1.678,-303.497,30.625,16.747,-80.453,-26.797,-146.679,-158.847,-1074.134,9.196,-162.506,-0.56,-9155.164,-80.813,1423.715,274.665,4.74,0.167,-0.07,17.062,-556.789,208.491,41.984,-5.444,-6.473,-17.031
Sal,75.833,-124.523,-553.997,-602.481,6022.902,-303.497,215290.167,-11991.838,-3246.05,38402.733,14303.516,70889.921,68537.103,1399156.464,12193.769,6467.51,1036.472,6383139.052,52459.041,-303738.043,-178777.352,-1158.774,-172.663,366.394,-919.337,27339.874,34491.247,-2475.585,5278.033,5379.454,-82147.638
CSom,27.142,-7.243,39.041,869.934,38.967,30.625,-11991.838,6814.057,-180.18,-5947.895,-401.835,-5597.311,-5089.512,-80278.693,-1546.559,-8391.906,-88.205,-340052.923,-1189.231,-9240.519,32567.156,-191.913,42.463,-7.664,-953.845,-12829.018,34312.103,-2566.883,-44.813,-239.455,-19040.16
AjSoc,-1.139,4.363,18.379,-98.281,-151.197,16.747,-3246.05,-180.18,212.993,-484.88,-327.808,-1467.74,-1708.759,-10485.912,122.39,-1095.9,-3.5,-101428.365,-994.046,15681.739,1361.039,42.618,-0.411,-2.912,238.56,-5589.145,-569.616,783.477,-85.233,-80.408,1361.747
Pensie,41.707,19.493,-43.433,-2010.967,596.415,-80.453,38402.733,-5947.895,-484.88,15503.467,2964.77,18185.227,17244.501,274084.255,2380.732,22404.829,104.496,1176237.027,8408.368,-93828.723,-33228.499,-1034.156,-32.765,4.285,-1627.2,37503.623,-5519.447,5102.544,796.671,700.452,11350.598
