,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.248,0.886,0.796,2.424,2.284,0.573,64.235,-15.056,5.687,1.795,7.398,18.77,62.371,286.419,-2.307,-85.619,-0.466,237.895,5.279,256.212,-170.215,6.592,-0.222,0.223,-28.125,-468.729,-191.808,-54.929,-3.363,1.284,538.926
RM,0.886,8.327,3.677,23.276,9.093,3.749,225.72,-145.234,36.208,-132.335,14.855,-140.971,55.008,-143.611,54.851,-650.371,-5.807,-14034.642,48.703,2747.414,-693.091,145.058,-1.426,0.273,102.776,-3005.077,-458.665,-176.73,-11.356,9.332,2555.319
RMI,0.796,3.677,3.052,6.557,4.364,1.876,247.145,-60.211,16.314,-37.735,20.591,11.925,159.416,511.919,-0.732,-424.2,-3.235,542.889,-2.186,1063.086,-614.522,75.527,-0.926,0.535,-95.314,-1923.005,-768.186,-227.691,-16.339,0.64,2364.18
Emigranti,2.424,23.276,6.557,118.386,83.029,15.582,171.194,-483.288,164.437,-777.083,38.755,-377.546,440.584,2061.266,140.388,-1040.834,3.0,-88536.804,414.21,10789.212,-934.162,254.972,-3.787,2.432,350.0,-5269.614,-152.744,-502.933,17.316,83.736,7466.137
Imigranti,2.284,9.093,4.364,83.029,89.512,11.914,179.888,-254.222,123.424,-756.973,56.529,82.63,921.866,4919.755,-56.44,-281.23,17.423,-60626.582,323.006,7054.137,-456.397,73.342,-2.615,3.982,-391.446,-1181.811,-1300.681,-886.944,6.264,73.228,9149.398
RS,0.573,3.749,1.876,15.582,11.914,2.483,114.385,-74.485,24.372,-123.73,11.999,-34.045,124.628,483.777,9.841,-274.307,-0.371,-10057.402,44.253,1633.515,-317.631,62.369,-0.794,0.529,-24.225,-1220.33,-368.468,-172.824,-5.031,9.797,1996.655
Sal,64.235,225.72,247.145,171.194,179.888,114.385,21477.2,-3407.577,906.962,-655.6,1803.682,3554.087,14372.819,49134.261,-947.298,-32374.226,-257.571,375975.427,-1481.76,53706.071,-51119.538,5231.306,-68.002,45.544,-11136.262,-145892.872,-69984.935,-19395.695,-1504.777,-188.855,189069.469
CSom,-15.056,-145.234,-60.211,-483.288,-254.222,-74.485,-3407.577,2689.92,-715.199,3846.462,-217.452,2750.164,-1387.679,455.76,-868.042,10981.283,69.441,340604.702,-1152.004,-55412.382,10229.02,-2795.546,26.345,-7.185,-1307.942,47505.538,8281.735,4084.8,168.248,-238.705,-55145.69
AjSoc,5.687,36.208,16.314,164.437,123.424,24.372,906.962,-715.199,256.188,-783.414,135.401,-154.03,1268.29,6130.051,130.47,-2026.767,-0.74,-96816.714,555.195,14958.512,-3021.449,298.788,-6.652,5.537,100.088,-11161.737,-2203.713,-1127.518,-13.017,113.858,13817.819
Pensie,1.795,-132.335,-37.735,-777.083,-756.973,-123.73,-655.6,3846.462,-783.414,25797.3,899.643,10602.07,-69.893,32515.717,212.25,19400.052,-127.07,1201353.83,-784.245,-131328.912,-10520.776,-11724.237,53.788,-5.898,7615.842,7861.191,30435.803,21370.439,544.062,-409.562,-237845.661
