,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.526,0.052,0.002,0.175,-0.349,0.333,-0.035,-0.263,-0.087,0.476,0.087,0.298,0.228,0.218,0.08,0.223,0.221,0.382,-0.257,-0.161,-0.14,0.129,0.268,-0.482,0.043,0.08,-0.319,-0.113,0.077,0.165
RM,-0.526,1.0,0.123,-0.374,-0.334,0.376,-0.35,-0.098,0.357,-0.219,-0.532,-0.307,-0.366,-0.329,-0.3,-0.308,-0.279,-0.347,-0.448,0.578,0.242,0.311,-0.193,-0.373,0.359,-0.315,-0.221,0.269,-0.156,-0.303,-0.273
RMI,0.052,0.123,1.0,-0.162,-0.225,0.15,-0.383,0.107,0.136,-0.153,-0.064,-0.234,-0.227,-0.075,0.025,0.13,-0.214,-0.335,-0.364,0.13,0.349,-0.024,0.209,-0.202,0.029,0.096,0.109,0.366,-0.049,-0.117,-0.113
Emigranti,0.002,-0.374,-0.162,1.0,0.744,-0.009,0.3,-0.025,-0.021,0.209,0.41,0.274,0.311,0.334,0.192,0.234,0.014,0.187,0.284,-0.392,-0.199,0.047,-0.156,-0.032,-0.023,0.028,0.245,-0.033,0.121,0.274,0.079
Imigranti,0.175,-0.334,-0.225,0.744,1.0,0.159,0.201,-0.11,0.147,-0.023,0.302,0.168,0.148,0.269,0.057,-0.054,-0.13,0.015,0.155,-0.224,-0.164,0.018,-0.206,-0.13,-0.125,-0.182,0.08,0.036,-0.199,-0.012,-0.139
RS,-0.349,0.376,0.15,-0.009,0.159,1.0,-0.518,-0.169,0.908,-0.303,-0.318,-0.228,-0.431,-0.226,-0.146,-0.259,-0.481,-0.549,-0.51,0.432,0.292,-0.016,0.045,-0.421,0.312,-0.252,-0.275,0.239,-0.307,-0.296,-0.429
Sal,0.333,-0.35,-0.383,0.3,0.201,-0.518,1.0,-0.017,-0.509,0.486,0.671,0.56,0.79,0.678,0.366,0.2,0.437,0.858,0.809,-0.513,-0.59,0.17,-0.303,0.383,-0.454,0.039,0.322,-0.518,0.391,0.529,0.518
CSom,-0.035,-0.098,0.107,-0.025,-0.11,-0.169,-0.017,1.0,-0.246,0.397,0.095,0.306,0.097,0.227,0.009,0.125,0.275,0.195,0.119,-0.214,0.072,-0.143,0.224,0.0,0.075,-0.036,0.375,-0.051,0.242,0.38,0.165
AjSoc,-0.263,0.357,0.136,-0.021,0.147,0.908,-0.509,-0.246,1.0,-0.409,-0.33,-0.297,-0.42,-0.267,-0.123,-0.216,-0.387,-0.591,-0.501,0.457,0.299,-0.118,-0.007,-0.378,0.283,-0.323,-0.292,0.285,-0.398,-0.37,-0.414
Pensie,-0.087,-0.219,-0.153,0.209,-0.023,-0.303,0.486,0.397,-0.409,1.0,0.418,0.611,0.484,0.443,0.376,0.515,0.298,0.635,0.447,-0.604,-0.518,-0.025,0.031,0.182,-0.137,0.313,0.183,-0.428,0.614,0.715,0.345
PopScolara,0.476,-0.532,-0.064,0.41,0.302,-0.318,0.671,0.095,-0.33,0.418,1.0,0.742,0.795,0.811,0.488,0.345,0.387,0.633,0.443,-0.466,-0.324,-0.048,0.036,0.001,-0.422,0.251,0.282,-0.411,0.421,0.585,0.34
PaturiUS,0.087,-0.307,-0.234,0.274,0.168,-0.228,0.56,0.306,-0.297,0.611,0.742,1.0,0.791,0.774,0.399,0.257,0.423,0.645,0.347,-0.37,-0.315,0.028,0.078,-0.075,-0.207,0.239,0.217,-0.405,0.482,0.653,0.225
Medici,0.298,-0.366,-0.227,0.311,0.148,-0.431,0.79,0.097,-0.42,0.484,0.795,0.791,1.0,0.687,0.341,0.213,0.545,0.732,0.55,-0.37,-0.403,0.077,-0.144,0.173,-0.422,0.162,0.219,-0.516,0.414,0.592,0.461
VolumeB,0.228,-0.329,-0.075,0.334,0.269,-0.226,0.678,0.227,-0.267,0.443,0.811,0.774,0.687,1.0,0.418,0.202,0.391,0.719,0.451,-0.375,-0.288,0.098,0.098,-0.07,-0.26,0.05,0.523,-0.215,0.395,0.57,0.23
SpectatoriS,0.218,-0.3,0.025,0.192,0.057,-0.146,0.366,0.009,-0.123,0.376,0.488,0.399,0.341,0.418,1.0,0.785,0.262,0.399,0.382,-0.337,-0.187,0.033,0.049,0.052,-0.157,0.322,0.184,-0.246,0.439,0.556,0.246
VizitatoriM,0.08,-0.308,0.13,0.234,-0.054,-0.259,0.2,0.125,-0.216,0.515,0.345,0.257,0.213,0.202,0.785,1.0,0.168,0.262,0.294,-0.494,-0.172,-0.186,0.065,0.091,-0.102,0.536,0.129,-0.166,0.441,0.481,0.252
SportiviL,0.223,-0.279,-0.214,0.014,-0.13,-0.481,0.437,0.275,-0.387,0.298,0.387,0.423,0.545,0.391,0.262,0.168,1.0,0.594,0.394,-0.25,-0.134,0.001,0.092,0.259,-0.173,0.221,0.262,-0.45,0.525,0.617,0.457
PIB,0.221,-0.347,-0.335,0.187,0.015,-0.549,0.858,0.195,-0.591,0.635,0.633,0.645,0.732,0.719,0.399,0.262,0.594,1.0,0.737,-0.532,-0.512,0.231,-0.08,0.379,-0.383,0.212,0.471,-0.551,0.558,0.666,0.547
SalariatiC,0.382,-0.448,-0.364,0.284,0.155,-0.51,0.809,0.119,-0.501,0.447,0.443,0.347,0.55,0.451,0.382,0.294,0.394,0.737,1.0,-0.576,-0.564,0.123,-0.14,0.66,-0.353,0.047,0.323,-0.51,0.283,0.513,0.58
PAgrVeg,-0.257,0.578,0.13,-0.392,-0.224,0.432,-0.513,-0.214,0.457,-0.604,-0.466,-0.37,-0.37,-0.375,-0.337,-0.494,-0.25,-0.532,-0.576,1.0,0.426,0.098,-0.186,-0.353,0.425,-0.331,-0.247,0.342,-0.388,-0.507,-0.232
PAgrAnim,-0.161,0.242,0.349,-0.199,-0.164,0.292,-0.59,0.072,0.299,-0.518,-0.324,-0.315,-0.403,-0.288,-0.187,-0.172,-0.134,-0.512,-0.564,0.426,1.0,-0.092,0.234,-0.407,0.466,-0.111,-0.051,0.526,-0.224,-0.395,-0.178
ServAgr,-0.14,0.311,-0.024,0.047,0.018,-0.016,0.17,-0.143,-0.118,-0.025,-0.048,0.028,0.077,0.098,0.033,-0.186,0.001,0.231,0.123,0.098,-0.092,1.0,-0.282,-0.082,-0.062,-0.143,0.06,-0.116,0.248,0.197,-0.038
Silvicultura,0.129,-0.193,0.209,-0.156,-0.206,0.045,-0.303,0.224,-0.007,0.031,0.036,0.078,-0.144,0.098,0.049,0.065,0.092,-0.08,-0.14,-0.186,0.234,-0.282,1.0,-0.053,0.176,0.121,0.085,0.062,-0.061,0.04,-0.118
SupLoc,0.268,-0.373,-0.202,-0.032,-0.13,-0.421,0.383,0.0,-0.378,0.182,0.001,-0.075,0.173,-0.07,0.052,0.091,0.259,0.379,0.66,-0.353,-0.407,-0.082,-0.053,1.0,-0.263,0.05,0.106,-0.418,0.067,0.194,0.43
DrumuriM,-0.482,0.359,0.029,-0.023,-0.125,0.312,-0.454,0.075,0.283,-0.137,-0.422,-0.207,-0.422,-0.26,-0.157,-0.102,-0.173,-0.383,-0.353,0.425,0.466,-0.062,0.176,-0.263,1.0,-0.054,0.092,0.578,-0.16,-0.178,-0.221
Innoptari,0.043,-0.315,0.096,0.028,-0.182,-0.252,0.039,-0.036,-0.323,0.313,0.251,0.239,0.162,0.05,0.322,0.536,0.221,0.212,0.047,-0.331,-0.111,-0.143,0.121,0.05,-0.054,1.0,0.141,-0.14,0.347,0.35,0.081
BugetVenituri,0.08,-0.221,0.109,0.245,0.08,-0.275,0.322,0.375,-0.292,0.183,0.282,0.217,0.219,0.523,0.184,0.129,0.262,0.471,0.323,-0.247,-0.051,0.06,0.085,0.106,0.092,0.141,1.0,0.268,0.245,0.272,0.058
BugetSubventii,-0.319,0.269,0.366,-0.033,0.036,0.239,-0.518,-0.051,0.285,-0.428,-0.411,-0.405,-0.516,-0.215,-0.246,-0.166,-0.45,-0.551,-0.51,0.342,0.526,-0.116,0.062,-0.418,0.578,-0.14,0.268,1.0,-0.373,-0.528,-0.511
Apa,-0.113,-0.156,-0.049,0.121,-0.199,-0.307,0.391,0.242,-0.398,0.614,0.421,0.482,0.414,0.395,0.439,0.441,0.525,0.558,0.283,-0.388,-0.224,0.248,-0.061,0.067,-0.16,0.347,0.245,-0.373,1.0,0.786,0.398
Canal,0.077,-0.303,-0.117,0.274,-0.012,-0.296,0.529,0.38,-0.37,0.715,0.585,0.653,0.592,0.57,0.556,0.481,0.617,0.666,0.513,-0.507,-0.395,0.197,0.04,0.194,-0.178,0.35,0.272,-0.528,0.786,1.0,0.452
Export,0.165,-0.273,-0.113,0.079,-0.139,-0.429,0.518,0.165,-0.414,0.345,0.34,0.225,0.461,0.23,0.246,0.252,0.457,0.547,0.58,-0.232,-0.178,-0.038,-0.118,0.43,-0.221,0.081,0.058,-0.511,0.398,0.452,1.0
