Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
ab,3.7619340617457895,3.6467892393244887,3.502341114302794,3.656632943247478,3.6238993723814374,3.693736143218898,3.5516972219324394,3.443404325321065,3.506315953497322,3.6408797659074614
ag,3.843157115171667,3.809924419585317,3.609743492148996,3.7883126974925823,3.8187978871905797,3.755566294903519,3.7338180485700865,3.556857555069336,3.62731241605238,3.7693605181510703
ar,3.499566374573827,3.375194168247425,3.1958726411455696,3.308699878647735,3.2936136123291715,3.464322419854095,3.2762321689979,3.16578646204842,3.189416228146154,3.1972083226802224
b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bc,3.9046949518402068,3.7905378620261883,3.6355858899442985,3.7272984957739683,3.669845419103408,3.878719030810038,3.7295470172889456,3.6547197907800686,3.525267666310038,3.6067293056162835
bh,3.8440903547592575,3.6462026931302396,3.529112319606402,3.6718729745839216,3.6803953093245845,3.7751548883852397,3.539811871302323,3.493294788305569,3.5126953404977845,3.6584602347254314
bn,3.5674089890517138,3.44496226612645,3.3368592208220806,3.356416594770068,3.508309247276908,3.547147764867971,3.384636367225773,3.337645827321615,3.238139227750654,3.543321935222186
br,2.5524484165567802,2.475838314019062,2.244962323928558,2.206329825339435,2.0671539414996203,2.5286610410082306,2.4317036968922117,2.214611017473172,1.8914754235960718,1.9745367175019881
bt,3.7992497376512406,3.668214813868478,3.602844445288814,3.6167609331970754,3.746813169659943,3.753556246590117,3.6809595568903926,3.584779685686268,3.362887323167911,3.771825981302509
bv,2.9112654546666845,2.5766801552219203,2.4564607312520943,2.584811708559638,2.456806482437374,2.8527536969497325,2.5174045677439274,2.39521576477919,2.4588401641964412,2.3813537327612826
bz,3.8048728935690663,3.8645384378465706,3.655349712067688,3.682191156829555,3.7117586040337733,3.7458728932159007,3.759930587938196,3.6041187757377977,3.466519228277343,3.7465840735794083
cj,2.816172264393914,2.313850281961545,2.414644739359255,2.827993137653569,2.8907466823669568,2.6921495450119544,2.1453934550327327,2.3845476264992094,2.588406641441989,2.726640645639442
cl,3.64200409252677,3.6652114547341825,3.546209956951682,3.490513176609582,3.4618273700130406,3.5951144134474324,3.6484348663513324,3.484215182050278,3.3183612049228315,3.456534104572407
cs,3.7821636655528525,3.8368633633695293,3.748978446907398,3.6609187990076655,3.7568352753320546,3.766960996658744,3.8007301479152966,3.6497502823191468,3.6050302261936897,3.772193220574962
ct,3.055298186263597,2.9076110232291694,2.7957405480424677,2.8655949926517725,2.582430632174422,2.9253970177068935,2.827086905482601,2.701965696446312,2.6642283625872087,2.426776446511684
cv,3.233072030406122,3.255492612032597,3.155062962291021,3.114802795032109,3.046588226329573,3.2794839567695973,3.2455518104378362,3.1350992531887467,3.006247401717634,3.0197126244014676
db,4.161626542352727,4.188670187578808,4.067952844376991,4.1181481022437145,4.078614295273837,4.134556663703115,4.155451892207363,4.048116050822167,4.003655498123202,4.057340775737696
dj,3.635713428561693,3.5899484334510996,3.3174564625217062,3.5149684046022016,3.728301811922866,3.511684944720736,3.4627792909237516,3.23765235173336,3.3251344245515737,3.7902557483705657
gj,3.697915164071881,3.7870442026760274,3.6146013804731907,3.7297156163829217,3.836569162135691,3.6855216012816507,3.733623627164643,3.5647280608363108,3.627285199301779,3.7941295029251436
gl,3.01769421001336,2.932869686008231,2.755980415481525,2.8142517201572685,2.7499353006776612,3.0058805685414285,2.8383232145919326,2.725952240054036,2.5421780298095404,2.762357660542703
gr,3.728706823100911,3.765364594043286,3.6675673281339254,3.6104468507343848,3.642000782895635,3.7419847582693193,3.731465136984721,3.6077220299108093,3.518197795888197,3.6247711110763494
hd,3.5430432829752956,3.651060324653457,3.5267341914163666,3.4557800335107705,3.4793807183147947,3.4700815936279787,3.6426506396288336,3.452562469224965,3.3885963390406175,3.3956314482924106
hr,3.8755677527452272,3.8490965251209026,3.7899727947710784,3.7584929302288956,3.6716739006629426,3.871366908094366,3.8464207131165895,3.775426028908501,3.6892565379142255,3.6326984603925974
if,3.494979768801741,3.342533240344462,3.3782505626265715,3.4751545731366686,3.4799454784010058,3.4745924113486373,3.292299445191114,3.3575736503604627,3.440663091894652,3.447552679634254
il,3.7016719613929636,3.685618338091505,3.502294121642507,3.5310387451180807,3.558279223816322,3.6091581066192173,3.6295549970946843,3.5337037391578496,3.3441183612304286,3.598598627412256
is,3.271534337301489,3.00460048818374,3.0410920230776397,3.441163293529415,3.21887940555828,3.126250898878234,2.9186246774017226,3.0136917646846384,3.1139569722061458,3.0384444596872346
mh,3.5584832656608083,3.609845203848573,3.5449879363304215,3.5433509498455478,3.6548004609629103,3.563492828614577,3.5708929713414705,3.472192842430459,3.405009320568203,3.7057297691067568
mm,3.6112881672197057,3.533130796423327,3.491679772826043,3.479453435420777,3.5582950369302697,3.6106490816348735,3.513811050016963,3.457169930639196,3.3640292824052405,3.4552968216571847
ms,3.805381579376163,3.7136789149402527,3.589822771012661,3.640935239235165,3.483645638661134,3.7717925891898947,3.6497987581419613,3.6001723034733213,3.4507529194060065,3.403644788436479
nt,3.9074568199625737,3.8042412875207163,3.67280796396574,3.7831118398269825,3.6587273349005516,3.909455492212692,3.7574807997843718,3.6648381967289616,3.585547086969242,3.612957131608783
ot,4.2023133543392195,4.220638990587336,4.077963128785402,4.227344996078864,4.39708849004324,4.140432448469753,4.131324609330063,3.9942815662703595,4.071921854435604,4.407866689171498
ph,3.8497123948543486,3.818497454509109,3.640361227038435,3.7175362421899534,3.632849357460225,3.8227371295654047,3.736719820900886,3.632485191630114,3.5701652799704986,3.525681084091289
sb,3.0016862473718833,2.730781048931478,2.5369390180823483,2.767696649678907,2.66959813087968,2.9213132939907687,2.5832341922827027,2.5112411065312745,2.6269954947366116,2.562644544046578
sj,3.57551568889232,3.48976524458835,3.4169926256128735,3.4560484577019444,3.6231927548250153,3.5220727005019468,3.460510382091707,3.382415285579554,3.340336229069405,3.715245790435829
