Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
ab,0.24035452215857064,-1.7092181540759506,-0.9316177244012693,0.965633565438004,-1.221066478335017,-0.27154868241586655,-0.9526864539218197,2.0143178644085786,-1.0445214196045773,-0.5311176039764761,0.005436237486628478,-0.02151413996496722,-1.0590857601070574,0.005904028247502166,-0.4732813655006631,-0.3837387085540097,0.2932681261281778,-0.807689907007018,-0.46813046216331744,0.47189682009687417,0.05737974517082708,-0.7017665987089123,0.06331720693417477,0.26984427739636313,0.46418439018912994,0.015770094379590364,0.427160339565602,0.18021693598460659,0.07420211697969357,0.07628089313391843,-0.12296877338225261
ar,-0.13604087877422247,0.9182483143972693,-1.4788622071994322,0.7042924717708546,-1.3341653861628122,0.003265078999281428,0.20332113545383665,1.327719982520584,-1.3758557624680634,-0.3165531159349772,-0.2119037376271938,-0.02015358418034069,-1.125395884448596,-0.3012460375654098,0.6864458358747625,-0.308278885773369,0.8584713067171961,1.1213502807267197,0.047933788913328376,0.5951208829361062,-0.033654662783479325,0.068576615953619,-0.41872794302779837,0.008760897942688134,0.08357989325642817,-0.03365546944421037,-0.46202930998776076,-0.06238954526014013,-0.11277420059229792,0.1388203742253818,-0.0017825043696016393
ag,-1.4325849202411662,1.100689285944053,-1.73122753451123,0.4485948204331747,0.6528670411909068,0.39457715365134605,-1.6721968709318051,0.3383421830228332,1.1226447526481405,-0.9972158069011906,1.3945318333373138,0.4193189108766582,-1.1119229523836573,0.4628093218365713,-0.9575130266140741,0.0014493202979242662,1.084221359326844,0.2361526757583747,-0.479740946707023,-0.9764275267474147,0.418311084529791,0.4198875676563966,-0.30995933400958486,0.07645989754950533,0.1472345956081544,-0.20812412225981522,-0.18969168648113527,0.150525006430989,0.19492292874140577,0.0621374542860497,0.04530139607288971
bc,1.5530819213919158,0.5909694742826811,1.3905929010058884,-0.8786989531266894,0.9492567465272757,-0.20246190185563798,-0.7701948769976245,-0.7494288743195878,0.5847003160762801,0.2924951720822946,-0.18852326365431948,-0.3565228167365799,-1.114810139850488,0.8996231789325085,-0.11554838241130329,-0.28610007087008205,0.24834029813221586,-0.35076662794661334,0.5480084773715466,-0.3384180617445553,-0.38663699266446866,-0.2529089854887937,0.5508075498201959,0.11941266659423931,-0.424918088062784,0.487071012753632,-0.05153844363094645,0.242986004163425,0.26817521724262217,0.14758679397273525,-0.10163094436559104
bh,-0.6636065412236113,-0.43554786744954926,-0.914557835502781,-0.8430013063147159,-0.12184346305764966,1.2400912355236668,0.523197096290931,-0.9119597648952003,-0.7145251095099301,-0.5078454461816337,0.8702116867045222,0.2823561707354636,0.5130319777136856,-0.6538748776900951,-0.41402363534434694,0.043299557283187656,-0.05484584183804748,0.02678607572981076,0.6123779983252617,0.19307820058712516,-0.0969480171544922,0.7126923081829476,-0.14979622747520946,0.8623586818234911,0.12698872354006716,-0.12791001889183007,0.050490598386125865,0.07909226549163388,-0.2155317320476802,-0.020200936269660123,-0.1386882728188669
bn,0.3996641925911887,-1.0336155308029085,-0.8282484541745248,-1.9014699682366956,-2.6967238671206664,0.2747254074585301,-0.47759670057878717,-0.35166870040278947,1.2810824647910675,-1.7995334469150324,-0.4121220183985198,-0.08757361036181606,1.199118836573961,0.056382797445723686,-1.1996881468639442,0.181385389145795,0.22342816416791914,0.19673914546296137,1.417776522709867,0.18781946373936728,0.09563977769652926,0.1533276729766492,0.43097067779719755,-0.1340245488970804,0.19778879758999462,0.024333947010223535,0.0530133424119337,0.11558083898422584,-0.13403517410947952,-0.04485667064675549,0.02818554314535027
bt,2.8326462363897265,0.8814102907544307,1.6951573227000618,-1.1438393790953323,-1.6077432438250165,-0.14263094938429685,0.9379891016414479,0.0658006909586104,-0.874516270634521,-0.9557961425803662,0.5332795449757569,1.1012870636079477,0.31677195622172927,-0.1091499791659859,-0.0871045692278639,0.5782144862744358,-0.6124517961762932,0.19179052363863922,-1.142273017303849,0.6867815598062446,1.0816154010992893,-0.05115402711086721,0.12294732590363198,0.26283247533936654,-0.19968330223135317,-0.13882397331394628,0.02298650202536357,0.21978823126313643,0.07284211926137238,-0.079503735546043,0.0019185452442552146
br,1.5144332005171357,-0.7005349560232995,0.0475251849192977,4.507577218336877,0.7004688155869705,-0.4655188863792253,2.279258266635954,-1.0947144939932316,0.8744130226533253,-1.4179121187013186,-2.613993921837694,0.6994979653551339,-0.508156350497703,-0.8448784203671894,-0.03486796021686857,-0.5422678662148388,-0.7606971659754362,0.024358463815772894,0.13026075523575453,-0.590043419201401,-0.11847440670681267,0.0523784295356434,-0.30414084751033943,0.33068565859905663,0.3851055669543839,0.10619572605930003,0.04574105290484058,0.04538726762417339,0.13377839052140397,-0.06292364666715507,0.07076124365598274
bv,-5.765108919323549,-2.878583543861524,-0.9241056969628769,-1.8159828463483958,4.4786416291667885,-0.3015256388869176,1.6895596901600392,1.8365856470915505,0.2529151057474953,0.3158898109954854,-0.13414825859846133,1.4658005144939596,0.8301523402696268,0.023278235275153946,-0.018598970782138922,0.3251946633705452,0.07911678295068321,0.1186541131559804,-0.05853813635849201,0.5555342099655188,-0.3473974608904858,0.13860803186554127,0.35272273271523646,0.1881427719844921,0.054745360696061986,-0.00278010954147191,0.004979536980452372,-0.019475093178874605,0.13207469555158696,0.08572313235523012,0.06463525338706898
bz,2.5908181863028896,-0.5193471466324606,0.08327364303093367,1.438012319380772,1.5300650135589742,1.4282240315558938,-1.2216867623494594,1.4512320647101737,0.49907993303829074,0.025743432258863004,-0.8255529005380567,-0.575641279725734,0.34050464655659846,1.191559908775728,-0.5622801434710045,0.5181767909450486,-0.550986459762432,-0.9026625311643443,0.15786063658469898,0.4158453093667282,0.5056538744517629,-0.006600903715473949,-0.17564473265750896,-0.44983187552590037,0.4329822202874578,0.0531102251212071,-0.09768194402000249,-0.09699221054436616,-0.03204072514840473,-0.09473135730429626,-0.08413027220171485
cl,3.5143980056408006,0.3509463355013876,-0.04927071504750217,0.16854573984034715,-0.5166334145049363,0.37884508524798505,2.2468810978862557,-0.06153739328543454,0.4623657753362755,-0.07130077671851799,0.15364379783977053,1.201003743674816,-0.23957971640152442,0.6630459913579129,-0.31781298193979407,0.6757316256732024,0.05586480885651193,-0.8259054632509855,-0.40612568196523136,-0.19300309159557394,-0.008411545786656392,0.1277399760039234,-0.037717586831322175,-0.5136217866123898,-0.4382104579161204,0.25919300733427963,-0.23111421792202255,0.07303695022400247,-0.22344097833872076,-0.047369529850792465,0.06250449273865544
cs,1.1114791864934,-1.3020340791911549,-0.20129233527045481,-0.0784653202911,-0.15609438899495137,-2.7851113694476854,-1.0119910441396514,-0.3535833561194335,-1.8046053885156677,1.1685201363456827,-0.7309199359965947,0.24902425357930646,-1.2970997016017183,-0.06572837068019176,0.30226322259797833,0.4368976325246699,-0.17814773223279246,0.15693670234381216,0.7261432543696716,-0.00011752103155000676,0.14608103456978638,0.10524556703849132,-0.1702515274489384,-0.0548593480438756,-0.2901438263318673,0.30125466116725397,0.19693628799720328,-0.04749223617591437,-0.20001066531586145,-0.011703094810125762,0.021630960494337746
cj,-6.014361617256991,0.1950674649027373,0.73531086841499,0.6062857600410214,-1.598247113972867,1.093948741730739,0.32104068940199004,-0.8154456476882699,-0.7095929443371847,1.148478319361196,0.7478908141160214,-0.17180461513639791,0.6316681230332298,0.6446043488607759,0.3352391258261102,-1.0971869954141595,-0.529819370623579,-0.9905272887641061,0.3270485985080245,-0.4742358676189125,0.9713750857515824,-0.38397118408751263,0.07067955184160965,0.25311643380363374,0.038049742568282634,-0.09905211631476613,-0.026590184808611438,-0.18658214526759165,0.010594989023139323,0.07737367682349093,0.09991470943937861
ct,-2.793224777419518,-0.9567473627707727,-1.2433811607912633,-0.6619574486339642,2.258769868569751,-0.14408250773787018,1.3858814114887743,-2.058255820160431,-2.0216690121216936,-0.5506316333407251,-0.31222570437392233,-2.7815369183465672,-0.03850592961161786,-1.0220198179271738,-0.1933801519758813,0.8221197243797309,0.8659571429954025,-0.5850486522836137,-0.22995652807012246,-0.05306184133454307,0.40238997551402156,-0.20392369502241725,0.1832610859439233,-0.06872082078538891,0.08800981138430164,0.006201208215950956,-0.31323736370114685,0.014795448452454228,0.037854336415506215,-0.027727857750489016,-0.025113129112456
cv,0.6080408083710725,-1.3019956404096547,-0.34978371870079844,-0.5113847459681765,0.038601273250337825,2.1442392256298155,-0.7730584286643681,-0.05539934998106038,-0.5809603987634245,1.081389708956932,-1.0124477402407706,0.06766358808435008,0.3856128932655592,-1.3429318417802583,-0.5077283316229004,-0.5489417586750391,-0.13597898271619216,0.2941619405295578,-0.5403458080474297,0.176084722995655,0.4143517987994546,0.39648450030874366,-0.13301228961970932,-0.4764045824427007,-0.1440970630041909,0.7041709885692301,0.09740132500595379,-0.04452561009612619,0.006351806139298678,0.02958828392174563,0.03915860212034495
db,1.7082290881377966,1.3612644770236768,-0.8458124067967088,-0.0646477325990908,1.1761043964129059,0.2558623006311572,-0.02036231747433886,-0.8829062993144617,-0.37355399382014753,0.14022064380429436,0.5976076430144551,0.6405958029213357,0.6259528064711921,0.41076040424614074,0.392149475664373,-0.7665079630813503,0.7450309719653544,0.27134481977431524,0.23892132931329949,0.39550684364097416,-0.40787968230577926,-0.44726878407320164,-0.6590380154651703,-0.4233771097210975,0.039478158821124834,-0.12418073961815917,0.1599949245288778,0.05252944104560603,0.017340753814722682,-0.1739783534314904,-0.09826058954255099
dj,0.6097988004010072,1.1588876408946005,0.9383892112853711,1.356567313709377,1.1281177471368147,2.4570981061034667,-0.4303169926103011,0.35797359953387775,1.049080724496707,0.2818491056401912,1.594640121523652,-1.2839011481974048,-0.6941034654660226,-0.6914739524854201,0.13361715382616535,0.42310510610129065,-0.6931758668760905,0.23168290021864388,-0.09871407439023552,-0.2790120155171782,-0.27761659300231556,0.021406673836969096,0.05512691520738373,-0.03125059788740201,-0.033557535406813166,-0.28606872282135154,0.13394683415715825,-0.22185590312537515,-0.2773958323013716,0.013979289948001024,0.018809821157469854
