,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
C1,10.451,10.451,33.714,33.714
C2,2.846,13.297,9.181,42.895
C3,2.633,15.93,8.492,51.387
C4,2.265,18.195,7.306,58.693
C5,1.833,20.028,5.912,64.605
C6,1.596,21.624,5.15,69.755
C7,1.368,22.992,4.414,74.169
C8,1.096,24.088,3.536,77.705
C9,1.038,25.126,3.347,81.051
C10,0.891,26.017,2.873,83.924
C11,0.837,26.854,2.701,86.625
C12,0.647,27.501,2.087,88.713
C13,0.602,28.103,1.943,90.655
C14,0.46,28.563,1.483,92.138
C15,0.389,28.952,1.255,93.393
C16,0.339,29.291,1.094,94.487
C17,0.323,29.614,1.041,95.528
C18,0.286,29.9,0.924,96.451
C19,0.214,30.114,0.689,97.14
C20,0.176,30.289,0.568,97.708
C21,0.158,30.447,0.509,98.217
C22,0.118,30.566,0.382,98.599
C23,0.09,30.656,0.29,98.889
C24,0.085,30.74,0.274,99.163
C25,0.075,30.815,0.24,99.403
C26,0.067,30.882,0.217,99.621
C27,0.044,30.927,0.142,99.763
C28,0.032,30.959,0.104,99.867
C29,0.021,30.98,0.069,99.936
C30,0.012,30.993,0.04,99.977
C31,0.007,31.0,0.023,100.0
