Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
ab,0.0035256231387191072,0.17828971324473458,0.052967171006518356,0.05690573007030471,0.09099340363458788,0.00450014691600081,0.0553899882251541,0.24762090207166673,0.06658340385548095,0.017215224294971906,1.8035497831949157e-06,2.8247451523410457e-05,0.06845316771399584,2.1272970898032463e-06,0.013670050007011023,0.00898674692795811,0.005248812040941671,0.03981260585965011,0.013374116362317211,0.013590185799860856,0.00020093172975172452,0.03005499637921833,0.00024466665833400433,0.0044438328739079295,0.013149594364607243,1.5177487279180283e-05,0.011135587601111966,0.0019820860084558364,0.00033601903812380105,0.00035510994190555056,0.0009228284490342283
ar,0.0013333156490245514,0.06074554022576777,0.15756129448619105,0.03573552868026782,0.12823703180319823,7.680358747553061e-07,0.0029782364314370163,0.12700098877777727,0.13637662339236645,0.007219170595028969,0.0032349781609254994,2.926164293645688e-05,0.09124409422946347,0.006537877897847522,0.03394741181322701,0.006846706013568816,0.05309402954337369,0.09058925985581735,0.00016553035147086779,0.025515524441911887,8.159895665058553e-05,0.00033880219826608354,0.012631589584943056,5.529570015694046e-06,0.0005032661766074875,8.160286835003068e-05,0.015379179755268363,0.000280425665689625,0.0009162492530988681,0.0013883550386092312,2.2890502439564454e-07
ag,0.10400246071380966,0.061394906511108474,0.15188369908916727,0.010197914672496708,0.021599930480191706,0.007889813463730046,0.14170255372497562,0.005801164202524181,0.06386862488249154,0.05039427156703031,0.09855070356955827,0.00891028842656572,0.06265449794558339,0.01085443094190395,0.04646139511421437,1.064465556740209e-07,0.05957153372817378,0.002826107032324807,0.011663165541312916,0.04831510110256517,0.008867508425330718,0.008934472080160403,0.00486869201109498,0.00029625813716255777,0.001098557010508664,0.002195066605651851,0.0018234735142060932,0.0011482069546836658,0.0019254343719337292,0.00019566348180647953,0.00010399825117746577
bc,0.20074318881408032,0.029065793726107958,0.16093559349507447,0.06425875515125208,0.07499278371871149,0.003411447673664188,0.04936888753931698,0.04674260728460993,0.02845238962041641,0.0071201557549583905,0.002957889794941568,0.010578564735502444,0.10343175897569057,0.06735554633280125,0.0011111682667213543,0.0068122098942106565,0.0051327071533078025,0.010239732831490154,0.024993475034488864,0.009531454027356667,0.012441103360716762,0.005323295917683003,0.025249446299558085,0.0011867326287001042,0.015026662330979912,0.01974406890430383,0.00022106230240503548,0.004913767555641048,0.0059853475310586105,0.0018127882907807505,0.0008596150534692389
bh,0.04833140400916669,0.020819959398590066,0.09179741353150019,0.07799460988143271,0.0016293431650300117,0.16877781923086602,0.03004268505210418,0.0912765992244231,0.05603289808558873,0.028305525359816144,0.08311088709198063,0.008749891380219876,0.028886635852502732,0.04692425632970744,0.018813013349364967,0.00020576665933334565,0.0003301379945287121,7.87455969461714e-05,0.04115733565075482,0.004091424866366842,0.0010315397237723905,0.055745811022340434,0.002462690567917369,0.08161762911006307,0.0017698579480009825,0.0017956315232938306,0.0002797880299973333,0.0006865562513552239,0.005098360407833328,4.478690916698309e-05,0.002110996796035785
bn,0.006754983045159245,0.04518058355354566,0.029010489139599357,0.15290184452965375,0.30754363353471137,0.00319176887830164,0.009646203486876373,0.005229994310284852,0.06940455225078096,0.13694734894792526,0.00718266183008899,0.0003243248997635667,0.06080765197052638,0.00013443954154455668,0.06086540544563074,0.0013913563857449855,0.0021111039463599995,0.0016368743556552335,0.08500595374587819,0.0014918150214458376,0.0003868217624740681,0.0009942025494339337,0.007854693247966626,0.000759630671209084,0.0016543872102485022,2.5041416946652493e-05,0.00011885136031887533,0.0005649440885734126,0.0007597511201451796,8.50918284508853e-05,3.359592475566766e-05
bt,0.3390410914436942,0.03282644794128132,0.12141928694550161,0.05528378202574131,0.10921971639059774,0.0008595976191905508,0.03717604993461815,0.00018294837914121747,0.03231494686381911,0.038600968823309455,0.012016486683358675,0.051247033826781904,0.0042399536709728,0.0005034020413214779,0.00032058967602345036,0.014126858466866034,0.015849350997273148,0.0015542538355797326,0.055132475619097655,0.019929890360656524,0.049432591977333594,0.00011056745585259225,0.0006387131132072379,0.002918943632665276,0.001684810879568097,0.0008143228073675422,2.2326129163231657e-05,0.0020411575425309933,0.00022419855195248908,0.00026708083640077345,1.5552913223525672e-07
br,0.05343207505272582,0.011433031988331531,5.2619828375207234e-05,0.4733562841256116,0.011430873209471344,0.0050486632869562705,0.12102884081771222,0.027919236196746647,0.017812916430588247,0.04683822465149825,0.1591882261317902,0.011399208772817863,0.00601584324472645,0.0166299227485663,2.8324019200403168e-05,0.006850614602538829,0.013481101950576028,1.3822977081884683e-05,0.00039530197137577157,0.008110912915513196,0.0003270023559091964,6.3915581160637e-05,0.0021550199755263127,0.0025476074932691845,0.0034551061125204317,0.00026273375546266136,4.8743208292131926e-05,4.799211320215232e-05,0.0004169401611111824,9.224218120376769e-05,0.00011665214013836237
bv,0.4382338836799072,0.10925683026374464,0.011259891749109506,0.04348248980995276,0.2644743419464435,0.0011987797903008292,0.03763899329013791,0.04447472711480533,0.0008434133250666898,0.001315716000071489,0.0002372799263404505,0.02832961416343564,0.009086706763396266,7.144815635098526e-06,4.561091076996633e-06,0.001394369067894387,8.253310029745768e-05,0.0001856335693872828,4.518233840371439e-05,0.004069232797996475,0.0015912711896876367,0.00025331897021286067,0.0016404304461157513,0.0004667303008068977,3.9517145234848244e-05,1.0190951543907041e-07,3.2694059154915816e-07,5.000921167444068e-06,0.0002300012289679272,9.689179105558806e-05,5.508455324069894e-05
bz,0.29897803709926407,0.012013814230515566,0.00030887342318571106,0.09210657338780406,0.10427619649941255,0.09085693561735939,0.06647910264255397,0.09380784156713486,0.011094446204974533,2.951877361865679e-05,0.030356746754361896,0.014759419355442204,0.005164300414236843,0.06324077412153081,0.014082212916029882,0.011959728660915697,0.013522197201309634,0.03629244635841837,0.001109974782048641,0.007702452462041436,0.01138864592662315,1.9407616787627466e-06,0.00137415484444999,0.009012927255619732,0.008350366527443445,0.00012563819747766323,0.0004250049621513951,0.00041902422089086007,4.5726723693674474e-05,0.00039971728802726107,0.0003152608197853914
cl,0.5550934010334169,0.005535356554892934,0.0001091043099822392,0.0012767319786242937,0.011995798454436884,0.006450412552111453,0.22689470360016972,0.00017019326431679194,0.009608056238542816,0.00022848237192429525,0.0010609483562921801,0.06482654845225423,0.0025796706932716246,0.019758386854453386,0.004539493966504132,0.020521668479770484,0.00014026225318131206,0.03065666122616217,0.007412847813270817,0.0016741436054360612,3.179917138464996e-06,0.0007333610452386633,6.393695873344325e-05,0.011856351092310683,0.008630374716550407,0.003019331085100745,0.0024005873000700526,0.00023974493310019386,0.002243829354850743,0.00010084684724139107,0.0001755846906503471
cs,0.061770265922960026,0.08476596391788044,0.00202596192210256,0.00030784514278329366,0.0012182919823801575,0.3878483375780817,0.05120709515971794,0.0062511573287774725,0.16283257905363915,0.06827303405555785,0.02671261574528432,0.0031007024754483832,0.0841246985068582,0.0002160143166499824,0.004568224288194928,0.009544126449078247,0.0015868555623026123,0.0012314757020726885,0.026364613949857594,6.905704515744976e-10,0.0010670001336375602,0.0005538401377179118,0.0014493018142744112,0.00015047975868538805,0.004209237880531564,0.00453778956881758,0.0019392254290851061,0.0001127773900308462,0.0020002446196507096,6.848228594587894e-06,2.33952887763024e-05
cj,0.7382642572780469,0.0007766090533437104,0.011035061035479368,0.007502180435548831,0.052133949506035226,0.024424558121265254,0.0021035504286616583,0.013571342389640416,0.0102766448091257,0.026920205539228824,0.011415874017543733,0.0006024242160397642,0.008143492317290064,0.008480456514916159,0.002293729331473911,0.024569372911528574,0.005729126795263624,0.020024683413012993,0.0021830181876500592,0.0045900938413984075,0.019257800787306434,0.003009054372383446,0.00010195777359903261,0.0013075956142095323,2.954855277107266e-05,0.00020024435740582114,1.4430304014504727e-05,0.000710514480706806,2.2910459066091756e-06,0.00012218537879469754,0.00020374719040861333
ct,0.20825483048188392,0.02443305989532198,0.041265952858034714,0.011696164260016238,0.13618437546255355,0.0005541225568485404,0.05126671043015189,0.11307901487742258,0.10909464181157523,0.00809292708113018,0.0026020798530353314,0.2065156502684767,3.957660508048971e-05,0.027880589142875556,0.0009981759607418607,0.018040702630577884,0.0200159455024443,0.009136235350857327,0.0014114802248629502,7.515328097102496e-05,0.004321928897799477,0.0011099890528636046,0.0008964453596665393,0.0001260549742373541,0.0002067499877755572,1.0264456051317426e-06,0.002618969449483281,5.843049675179013e-06,3.824851575651269e-05,2.0521823437114595e-05,1.683390883806551e-05
cv,0.025983788050016148,0.119139581352246,0.00859876719294925,0.018379451575437036,0.00010472256465223772,0.32313461454001974,0.042001195188653716,0.0002156981139450682,0.02372084026005916,0.0821866870160987,0.07204141598525923,0.000321771116539258,0.010450572981282203,0.12674911985978815,0.0181175640642734,0.021178224527488618,0.0012995128706996375,0.006081489668031893,0.02052015244273066,0.002179116085588096,0.012066337449453766,0.011048146845187248,0.0012434277292203816,0.01595103507609211,0.001459309023050442,0.034849236396843515,0.0006667557034438723,0.00013933389170686493,2.835511931010427e-06,6.152853355973282e-05,0.000107768383752722
db,0.24613205575739258,0.15630071918007557,0.06034260515607078,0.0003525190151315269,0.11667228409964815,0.005521900217419519,3.497279659906419e-05,0.06575142721326534,0.011770169614421781,0.0016584403929732804,0.030123694857182998,0.03461338963397665,0.03304906179970587,0.014231579346784932,0.01297117237176972,0.04955748923764715,0.046819266772169396,0.006210392134740822,0.004814883662614692,0.013194227215563955,0.014032663079635598,0.016873809079980914,0.036635058300158355,0.01511926575781499,0.0001314588210396928,0.0013007218557270145,0.00215917759512448,0.00023274561769119536,2.536365858422839e-05,0.0025530915360966505,0.0008143942229930694
dj,0.019051853373919615,0.06880924009622799,0.04511595046379149,0.09428590983819478,0.06520380830719692,0.3093207777125507,0.009487266304966198,0.0065654741616260025,0.056387379768900105,0.0040700282269494695,0.13028351668807667,0.08445537090830783,0.024683828738290954,0.024497160591986547,0.0009147207529053772,0.009171927899507236,0.024617897976303475,0.002750122639216171,0.0004992548061451045,0.003988502896711061,0.003948707269984206,2.3478074860475977e-05,0.0001557010283331068,5.003578992574653e-05,5.769580181711114e-05,0.004192806820354487,0.0009192401946946272,0.002521773501213616,0.0039424297432721685,1.0012310851747754e-05,1.8127312919265123e-05
