Indicatori,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
RN,0.13227823928663518,0.23832638187176286,0.2385161646787636,0.5689429032222095,0.597547825345204,0.7560917916027143,0.7876580038921333,0.792095024493028,0.8073540312520084,0.8073690331442261,0.8164216408462163,0.82718930746969,0.861764736140792,0.8996134495149606,0.9019080834897403,0.9078732633564897,0.9276018747369785,0.9816198466552587,0.9843386405675388,0.9863695880795563,0.9892700700718783,0.9913776008163552,0.9942168301018269,0.9948946784696302,0.9949515695760789,0.998164016164577,0.9983792819805717,0.9999526397647879,0.99995311792997,0.9999820142612276,1.0000000000000013
RM,0.31453686487439153,0.3203070198334327,0.33540428109586445,0.7468852858563674,0.7479405829513165,0.7492014222104397,0.7608792571481714,0.7624997446313981,0.7781254218018901,0.7891394734961288,0.8108213430962055,0.822788999944068,0.8228047445035037,0.8228189116889345,0.8510272745707549,0.9191033496946546,0.9418557337005773,0.9499020547846421,0.9605339332036726,0.9686677086902752,0.9921966980101298,0.9974506187327479,0.997685811439517,0.9995606950722966,0.9996411153461934,0.9997186067206421,0.9999040020316121,0.9999737576726483,0.9999761229510659,0.9999900355790421,1.000000000000001
RMI,0.07292513166237224,0.2670214638668608,0.27383484719863604,0.34412206480013746,0.34944126226109146,0.38538521696508937,0.5636063019955049,0.5644517149946356,0.7402680236793434,0.8028272696220272,0.8322932614338708,0.8783504140621662,0.9298114140593818,0.9410380927047047,0.9745985056258768,0.975921633184608,0.9793325657003618,0.9793326213780366,0.9908943202872547,0.9914528531730846,0.9915135820325733,0.9921753781839316,0.9922859328478452,0.9980006309299984,0.9993544116359778,0.9995912494450889,0.999610803559967,0.9997552658871919,0.9997633139123131,0.9999964382788971,1.0000000000000002
Emigranti,0.1168224456080893,0.11719443704161772,0.576829800587912,0.5884090574921773,0.5939406150836464,0.7653058578127703,0.7659335300831863,0.7789319593120687,0.7912789462857834,0.8790653707547726,0.8892460560367358,0.890638371847377,0.9126225599511789,0.9136604020016394,0.9315330481655084,0.9385761067911168,0.939231831611458,0.9449317087325262,0.9830478824054546,0.9836777813464026,0.9852755115768901,0.9872333752935307,0.9873735172745239,0.988412745637618,0.9898429077795187,0.9970686862537972,0.9985186393684434,0.9996632720067979,0.9999681836597054,0.999997973798296,0.9999999999999998
Imigranti,0.01691192532244849,0.0867145003492823,0.7484418942329434,0.7816512794869799,0.781651362828539,0.8319223552162789,0.8375377741870529,0.8380696237763395,0.8400344419517471,0.890351357154308,0.900767284698283,0.9033261620302301,0.9098355843051172,0.9124881343582593,0.9133170484514317,0.9145541776746867,0.9188236806525201,0.9196180262309593,0.9600749164733422,0.9749318634247031,0.9830971521916875,0.9910855288663374,0.9911411129786842,0.9915743414367115,0.9925123706073938,0.9981664523979561,0.9993435915266939,0.9996531505939089,0.9997139601092976,0.9999776581348155,0.9999999999999992
RS,0.36663905543695524,0.3866571230800006,0.583005589732341,0.6115595568933364,0.6942313180537583,0.717680596948024,0.7728537375473141,0.8035632266433851,0.8730454533122001,0.8843439107892317,0.891281456464505,0.9480318007345577,0.9491903701425097,0.9498449628039837,0.9760489735806601,0.9760490779596351,0.9766708974515356,0.9817766674272277,0.9817942282942455,0.981909854376767,0.9819131697835324,0.9832711731537739,0.9837702647338677,0.9872413393656767,0.9879582696148155,0.990272983423737,0.9906520838039558,0.9969726188138562,0.9996352961437078,0.999719512884958,0.9999999999999999
Sal,0.7211947335719158,0.8285878532040637,0.8426106409723826,0.8707850063248134,0.8804018445628713,0.8809942239032806,0.8956294060822173,0.8982338149892408,0.8982385043254442,0.9226071911328518,0.9433231617972236,0.9437587588386157,0.9472122865185936,0.9540556219448716,0.9540557074394324,0.9546532196683913,0.9552146263083942,0.9698324732722422,0.9699827183414076,0.9711071613959628,0.9713671286376293,0.9718502463854992,0.9788834583743063,0.9883172086807006,0.9885274932056068,0.9886690258380993,0.9929776610713998,0.9939005897773847,0.9987496581819204,0.9987902396001237,0.9999999999999997
CSom,0.05939030045904461,0.2579718893599451,0.28562751780008283,0.28648978643816836,0.44843926342904594,0.45910885120640604,0.6302926737588558,0.6321282023367759,0.7239877999532124,0.8216287397824589,0.8436868944350979,0.8513259096628911,0.9407608160017754,0.9637171040246574,0.9814436194060843,0.9859581105891035,0.9861406666803428,0.988039352241766,0.989913042464991,0.993340363647447,0.993781466056633,0.9942020288611875,0.9946422734582869,0.9946533562112393,0.995898047707521,0.9968574605359458,0.9972192766398666,0.9985377704151032,0.9999639182023007,0.9999643394008881,1.0000000000000002
AjSoc,0.3934679068186947,0.39744234822395264,0.57984808728393,0.5869391912833698,0.6633466327207094,0.6985932221598093,0.7369756485419535,0.8272608137981182,0.8712108612497582,0.8913826694918427,0.8917045587499561,0.9461011097496868,0.9514948864651619,0.9583002839774428,0.9583195657801395,0.9622895483086383,0.9625172906245273,0.9675533971589354,0.9675535740558645,0.9740390629599903,0.9810972389849064,0.9815035671168401,0.9842070739858039,0.9899440817258286,0.9922221400403171,0.9933968867197289,0.9934742735830338,0.9959592577348497,0.999797781682002,0.9998838155178387,1.0000000000000002
Pensie,0.4884006015044909,0.5828084644634157,0.587694592976529,0.6212436347793479,0.6730043723358456,0.7174878320800784,0.79580851483148,0.8449804901301023,0.8625777131598495,0.8628222983058134,0.8973904177838389,0.8995957055674719,0.9050919082539419,0.9084071669375715,0.9114551396396408,0.9135715935976997,0.9158615993797212,0.932580371505744,0.9459996661454693,0.9650932631993815,0.9885133632040042,0.9885484499438404,0.9888246338192773,0.989187230101344,0.9963817677825864,0.9964377196198305,0.997645470661799,0.9986712237313474,0.9989775252446709,0.999873096917765,1.0000000000000009
PopScolara,0.6048392873994409,0.6144800238425167,0.7642079738746932,0.7807768422922582,0.7844087100234962,0.8985276663027122,0.9071806182761692,0.9073832285076238,0.9131892975231147,0.9133788497242382,0.9217279244574802,0.9220735905042972,0.9292292750434746,0.9303782487930673,0.9304147581149492,0.9394938390371652,0.9408265959203143,0.9438113327571843,0.9578524723732545,0.95786029215858,0.9631919792405674,0.9691748234196964,0.971102445682241,0.9783807085302578,0.9815717675048042,0.9898569470930612,0.9979366565206034,0.9994797032754857,0.999511415962336,0.9995167458807747,0.9999999999999981
PaturiUS,0.5116298827554623,0.5844364037490313,0.6769637839847786,0.7225030719333556,0.72610693152015,0.7934624001187324,0.8365790236649524,0.861766758145195,0.881750226562609,0.8890594384168549,0.8971223066269395,0.8998556516688249,0.9008429589562363,0.9169393422265804,0.9209068463729121,0.9213049820522752,0.9611535253343636,0.9626723864605584,0.9635498850454619,0.9637209105749382,0.9653338386959263,0.9708258731833316,0.97873354710154,0.9788407743497023,0.9851198702537824,0.9986359350068229,0.998858683687716,0.9989112288596371,0.9993291753992096,0.9993396242212023,0.9999999999999996
Medici,0.6555552741357528,0.661628278677767,0.6965973392252378,0.7217321768310587,0.732641771159462,0.8110118605284181,0.8112320064986687,0.8112607525372927,0.8418964058514911,0.8419941355114511,0.8708103053785574,0.8742991967987797,0.8841230110995403,0.890140957925595,0.8977046979292449,0.91352701711605,0.948782221413643,0.9492110752453757,0.9553894360836026,0.958270617544279,0.9741273336330882,0.9881029756936788,0.9896303487691218,0.9896941903476691,0.9906335142888304,0.9980147865081973,0.998615722427374,0.9988386664837815,0.998883101155419,0.99888310224634,0.999999999999999
VolumeB,0.4996904977366667,0.5406285868220404,0.7276054399928491,0.74123254121553,0.8399651851368016,0.8780932997485286,0.8806787432509581,0.8812469149446795,0.8909708164330846,0.9280437114327221,0.9316069466448197,0.9316296348672988,0.9366843756114938,0.9433121506097046,0.943994217111495,0.9454716912331923,0.9464553337081034,0.9499529501132735,0.9547139761448219,0.9547165891827764,0.9666799602317697,0.9865057033421483,0.9917971100995989,0.991819310639379,0.9952223157293589,0.9952347092946224,0.9968546921248421,0.9975233250583443,0.9975299921293429,0.9990447728343713,0.9999999999999998
SpectatoriS,0.2917671064164051,0.4125572646066565,0.42684700137068965,0.4415122660684336,0.5927727998418066,0.5966086807054506,0.6778277714086582,0.7893215176882775,0.8032247015685906,0.8527256139125567,0.8534767226763911,0.9193397264960892,0.950052212030718,0.9501320414149359,0.9504571864093361,0.9508298788896459,0.9556865743321638,0.9717506586801871,0.9738051852747104,0.9755960002020344,0.9758862482809622,0.9801867017944874,0.9936657665998115,0.9944396669585948,0.9945360907851025,0.9965286814525269,0.9991904982460802,0.9991919025087579,0.999400459504975,0.9998284487905025,0.9999999999999993
VizitatoriM,0.22584597354615352,0.4450761741490402,0.449533144690619,0.5312727015288946,0.7852771740069798,0.8171647650995734,0.8536963618324067,0.8777740768398797,0.8787299249379406,0.880302656801848,0.90500009958295,0.9387013246928608,0.9486692826112212,0.9497630692796104,0.9508320395397212,0.962222176231685,0.9623162076738748,0.9643066418384388,0.9679114712546822,0.9679114836935108,0.9707519600965909,0.97586576826276,0.9866350926555965,0.9878576367496363,0.9880989812929681,0.9934839194694159,0.9982576120413297,0.9988338102755004,0.9994412435948303,0.999737370195546,1.0
