,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,5.093,5.093,16.429,16.429
F2,2.395,7.488,7.725,24.154
F3,2.188,9.676,7.059,31.213
F4,2.028,11.704,6.543,37.756
F5,1.662,13.366,5.36,43.117
F6,1.362,14.728,4.393,47.51
F7,1.337,16.066,4.314,51.824
F8,1.328,17.393,4.282,56.107
F9,1.287,18.68,4.152,60.258
F10,1.271,19.951,4.099,64.357
F11,1.229,21.18,3.966,68.323
F12,1.229,22.409,3.965,72.288
F13,1.197,23.606,3.861,76.149
F14,1.193,24.799,3.848,79.997
F15,1.155,25.954,3.726,83.722
F16,1.134,27.088,3.659,87.381
F17,1.074,28.162,3.463,90.845
F18,0.777,28.939,2.506,93.35
F19,0.266,29.205,0.858,94.208
F20,0.26,29.464,0.838,95.047
F21,0.175,29.639,0.563,95.61
F22,0.151,29.79,0.487,96.096
F23,0.129,29.919,0.417,96.513
F24,0.114,30.033,0.368,96.881
F25,0.089,30.122,0.288,97.169
F26,0.083,30.205,0.268,97.436
F27,0.079,30.285,0.256,97.692
F28,0.057,30.342,0.185,97.878
F29,0.026,30.368,0.084,97.962
F30,0.009,30.378,0.031,97.992
F31,0.0,30.378,0.0,97.992
