,KMO
RN,0.5471531057078233
RM,0.7998278811380445
RMI,0.336333603772182
Emigranti,0.5614412874027078
Imigranti,0.38178320602043964
RS,0.556766601258223
Sal,0.654893640716724
CSom,0.28082247943305166
AjSoc,0.6220518503769786
Pensie,0.6082760155693133
PopScolara,0.6457178148123514
PaturiUS,0.5514081633606368
Medici,0.5522255494842102
VolumeB,0.5409704422863638
SpectatoriS,0.4798572873084314
VizitatoriM,0.45500190933306783
SportiviL,0.4505282624383939
PIB,0.6881366333331267
SalariatiC,0.7844220833868867
PAgrVeg,0.578170182721751
PAgrAnim,0.7159549366526635
ServAgr,0.12721246804858066
Silvicultura,0.19889742982848188
SupLoc,0.5169673743355399
DrumuriM,0.3711207564041628
Innoptari,0.32282143631904303
BugetVenituri,0.36900327330601373
BugetSubventii,0.6194275256556664
Apa,0.5027203862070528
Canal,0.7151437288879046
Export,0.5553921151622049
Total,0.5471558359592014
