Indicatori,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
RN,0.15587754723298278,0.1697887561183092,0.06302093762318914,0.048078035386704604,0.12558983566174337,0.9075610599530696,0.009310654961821634,0.0314089488495861,-0.048564583515660446,-0.21231425235863588,0.013868296899703859,-0.07770387023576739,0.05622439407198138,-0.019112021681405456,-0.10257287062333553,0.0783867309285425,0.06498422364853323,0.019979362860528913,-0.019281545829843347,-0.040672993516036704,-0.0023228995811340946,-0.012495880402205,-0.006265194845845286,0.00973689237802852,0.00020364526204625068,0.002001191823145991,0.0005186131750949557,0.002588104613957044,0.00021895389229038094,0.00014385792840419735,0.0
RM,-0.2194774554047733,-0.21037697676311976,-0.13902096594778512,-0.35884805216886434,-0.26278806258125165,-0.34580082408126267,-0.06795219515748782,-0.08114024822267193,-0.03505850247087605,0.1799526448587473,0.0010453142535643007,0.25667358256553924,0.06853410737702445,-0.20663697210540255,-0.06809967932120223,-0.17987900633740614,-0.03929654033941011,-0.11271315332689608,0.02087686143272628,0.4772811100918486,-0.0033355482977241065,-0.02116440434946659,0.005985141370625507,0.000770512826121202,-0.00026894698279725037,-0.0032602391984247686,-0.004669255677182465,0.0017988687143094598,0.00023864789216132616,3.195565949113728e-05,0.0
RMI,-0.12907571810798543,-0.07724215147777481,0.07738321089719052,-0.11867610845102908,-0.10423559101838327,0.053128758549708464,0.08452287402129766,-0.022771700177549793,0.0594536351415056,-0.025518452856104063,-0.1293674476855461,0.009724227349308208,0.9045474173864815,0.054082781698007884,-0.002622059982376878,0.09574765312483603,-0.08438474602624488,-0.023694215724132155,-0.006434631850935599,0.014094947126942344,0.003065623699924691,0.010238642342643949,0.0033350460143558632,-0.007242965144001008,-0.0011691551813040443,-0.0018091427743329007,0.0022338890907146595,0.0005552637281868009,0.00013959977513199875,9.833267573178057e-05,0.0
Emigranti,0.20274702916711185,-0.0017570660652036919,0.11464463282746915,0.9086047433920782,0.01720645946441842,-0.06793480984624907,0.10126217196336607,0.051598864811308896,-0.02585149339389131,0.04957532511833465,0.0477924412523854,0.01555739474744204,-0.0288666236119322,0.020656415295609784,0.0704863937244412,-0.05253758837916639,-0.017757812472722245,0.08329383723623796,-0.015558964827365745,-0.003111118897326699,-0.06139146127243962,-0.043678464247775696,0.21641563730837657,0.013624622502141802,0.021239232104541886,-0.027833149900272646,0.013929589029305533,0.0010755671942766986,-0.004243889250396031,0.0002957049521899915,0.0
Imigranti,0.13227334957172882,-0.12710900148300905,-0.030828099171400593,0.8767630723423127,-0.06815786606582044,0.1456250980459129,0.017639651745265134,-0.09562586933705503,-0.033338940144676206,-0.06518409134981969,0.04141579379749015,0.0030126499153727273,-0.12192969635436272,-0.10133637860889497,-0.13149435541159457,-0.11205193018359012,-0.04943788138060492,0.034245279630123936,0.022661337474185427,-0.04842162221491991,0.06815023616507343,0.05317072196918164,-0.25349911384572127,-0.004251540287900218,-0.019251797424934644,0.03024097108859657,-0.012639788357822042,0.0003553661630210242,0.005034387612242287,-0.0009231015574111817,0.0
RS,-0.1592710697444891,-0.9010721324268237,-0.08389406409382762,0.06610240905818815,-0.14941984647051498,-0.13485096974983693,-0.09380030574238814,-0.11670267621885975,-0.03036440324425339,0.0824402820248753,-0.0732070627452827,0.02333492851044451,0.050876999043636226,-0.05117800382902081,-0.01676859233949733,0.051542217836641216,-0.18281027558165913,-0.08675851228453024,0.013966554714171048,0.03387167714977588,0.013339751898024303,-0.031223416276980893,-0.04520209991865959,0.026583791114460728,0.007999893358613945,0.04208919278802412,-0.004425359561358707,0.04016152933046431,0.10877972612942188,0.01024702291939133,0.0
Sal,0.6416384162937624,0.2811482418249964,0.11345150673793324,0.09560984063981588,0.22530006972823327,0.14033735035732975,0.17225117247965893,0.24107930041989353,-0.12594662699106055,-0.12840054197610254,0.24591346198583577,0.08372012246403818,-0.20928185374202632,-0.10233189391299918,0.03899852669609687,-0.2507002317738913,0.09111077822795598,0.23463767230491792,0.002512295130894739,0.031789771302135714,0.005578358736620992,-0.08078120279206535,-0.017895246626224996,0.07743539202073454,-0.001309368000646544,0.04537145587582723,-0.027282822374354556,0.15929042865594545,0.009890749290743997,0.004296644732878418,0.0
CSom,0.1145610995475971,0.10874750529643135,0.00881514708426141,-0.04953564089336075,-0.014788479696346682,-0.038047698981480534,0.16429481415461816,0.05143429821185041,0.9421533125513443,0.036062593337871277,-0.02753568882855974,-0.08633983250216425,0.06160694570541025,-0.05893025822277119,0.07874321990164268,0.10726406578010214,0.08602604145945081,0.04528949189880557,0.025790378745906086,-0.007513803858286699,0.0025201327978397964,-0.00571611230459575,0.0007269702608351924,0.0029271162837749788,0.0028873920014613067,-0.0024518965060226056,-0.0005561160945034819,-0.001573292200716253,0.00046493959895742347,0.000320361180824503,0.0
AjSoc,-0.2039252877906847,-0.8938683623470224,-0.016900170249328293,0.04261474441133097,-0.1453790900061852,-0.07417035750177059,-0.08081548970289706,-0.1224771305820221,-0.12276722019247542,0.07459819245435882,-0.07415234597382975,-0.08746525804557367,0.05235940702308638,-0.15927257697827388,-0.12482844931592667,-0.02806447132274481,-0.015672890440629954,-0.05375179092390002,-0.04629723771721884,0.016509248196061827,-0.00296832969289056,0.035835676788372926,0.03877069217592421,-0.04085684967040628,-0.012471879880915773,-0.0378879473337807,0.0007100629283651254,-0.041980844731094466,-0.11137030356067495,-0.010299722164685282,0.0
Pensie,0.4242972107291705,0.16820017102601081,0.27358638674105207,0.02694074842412844,0.08576249318276012,-0.17636118567308556,-0.03823690908930366,0.11373301464253935,0.3098861712917897,0.04803546696190366,0.42017805795011337,-0.04690294990812696,-0.04681925113729884,0.1394682993531915,0.2935083677061285,0.029053765738815615,-0.0050385507408929565,0.25811702619040505,0.45125015583435035,0.03207312334085715,-0.01543526632541543,-0.025137147703572192,-0.007021885145425101,-0.001843706873315145,0.006843954379189934,-0.008881599158447169,-0.012396809147817257,-0.0031468364301740575,-0.00044357846219637,-0.003481774614512291,0.0
