Indicativ,Partitie O,Scor_Silh_Opt,Partitie 3
ab,C2,0.44921777464525914,C3
ar,C2,0.47480602979714875,C3
ag,C2,0.46950209280202887,C3
bc,C2,0.3331394712200622,C3
bh,C2,0.5025308157208571,C3
bn,C2,0.41714074483296343,C3
bt,C2,0.24124607964262895,C3
br,C2,-0.15828884021008413,C3
bv,C2,0.5524505723722497,C1
bz,C1,0.4475724618329208,C2
cl,C2,-0.13885673846467553,C3
cs,C2,-0.046942788972194394,C3
cj,C2,0.5606021778967278,C1
ct,C2,0.4883129000670787,C1
cv,C2,0.5433064837749213,C3
db,C2,0.3928979827713867,C3
dj,C1,0.5115658570109151,C2
gl,C2,0.4509520384857191,C3
gr,C1,0.6355023036975316,C2
gj,C2,0.17868763679747668,C3
hr,C2,0.5744370178637358,C1
hd,C2,-0.14638074475233684,C3
il,C1,0.37372765309799977,C2
is,C2,0.45841042439771473,C1
if,C2,0.4614990830867882,C1
mm,C2,0.5680387806325689,C1
mh,C1,0.5338739345542929,C2
b,C2,0.560878538115655,C1
ms,C2,0.5288321843640503,C3
nt,C2,0.13371375039250397,C3
ot,C1,0.6188088941468498,C2
ph,C2,0.4206119163144557,C3
sj,C2,-0.0016255360210165573,C3
sm,C2,0.5466977895747018,C3
sb,C2,0.545391303511204,C1
sv,C2,0.38792003025590827,C3
tr,C1,0.5042116699709833,C2
tm,C2,0.48166670451902655,C1
tl,C2,0.12102666279649546,C3
vl,C2,0.41169844282508383,C1
vs,C2,0.26843853350138597,C3
vn,C2,0.2994198137683966,C3
