,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.741,-0.05,0.068,0.123,-0.111,0.295,0.473,-0.161,-0.123,0.717,0.264,0.253,0.486,0.148,0.302,0.212,0.219,0.605,0.239,0.033,0.035,0.129,-0.409,0.266,0.453,0.091,-0.403,-0.276,-0.204,-0.028
RM,-0.741,1.0,0.559,-0.664,-0.385,-0.096,-0.687,-0.073,-0.099,-0.256,-0.799,-0.587,-0.617,-0.582,-0.435,-0.342,-0.178,-0.46,-0.829,0.405,0.593,0.099,0.202,0.548,-0.038,-0.141,0.002,0.556,-0.161,-0.265,-0.136
RMI,-0.05,0.559,1.0,-0.878,-0.768,-0.161,-0.604,-0.101,-0.323,-0.066,-0.239,-0.491,-0.463,-0.202,-0.298,0.378,-0.574,-0.095,-0.364,0.445,0.482,0.351,0.827,0.811,-0.111,0.716,-0.045,-0.036,-0.1,-0.255,-0.021
Emigranti,0.068,-0.664,-0.878,1.0,0.752,0.329,0.57,-0.067,0.396,0.127,0.295,0.536,0.523,0.24,0.367,0.034,0.366,0.147,0.483,-0.611,-0.7,-0.151,-0.645,-0.566,0.064,-0.486,0.152,-0.064,0.197,0.258,-0.124
Imigranti,0.123,-0.385,-0.768,0.752,1.0,0.092,0.302,0.558,0.175,-0.499,0.107,0.419,0.289,0.157,0.211,-0.256,0.86,-0.256,0.25,0.04,-0.086,0.056,-0.86,-0.698,0.365,-0.72,0.297,0.411,-0.334,-0.353,-0.504
RS,-0.111,-0.096,-0.161,0.329,0.092,1.0,-0.462,-0.295,0.973,-0.097,-0.482,-0.582,-0.541,-0.715,-0.677,-0.13,-0.244,-0.551,-0.405,-0.298,-0.181,-0.664,0.213,-0.182,0.643,0.021,0.836,0.348,-0.299,-0.061,-0.51
Sal,0.295,-0.687,-0.604,0.57,0.302,-0.462,1.0,-0.09,-0.383,0.543,0.829,0.929,0.962,0.856,0.882,0.237,0.215,0.826,0.882,-0.526,-0.675,0.198,-0.492,-0.329,-0.584,-0.173,-0.656,-0.685,0.636,0.599,0.614
CSom,0.473,-0.073,-0.101,-0.067,0.558,-0.295,-0.09,1.0,-0.267,-0.839,0.101,0.08,-0.081,0.138,-0.059,-0.292,0.839,-0.407,0.039,0.811,0.666,0.233,-0.409,-0.49,0.512,-0.273,0.246,0.457,-0.76,-0.813,-0.52
AjSoc,-0.161,-0.099,-0.323,0.396,0.175,0.973,-0.383,-0.267,1.0,-0.084,-0.501,-0.547,-0.51,-0.724,-0.667,-0.322,-0.13,-0.555,-0.424,-0.325,-0.184,-0.781,0.053,-0.338,0.649,-0.157,0.794,0.391,-0.29,-0.003,-0.443
Pensie,-0.123,-0.256,-0.066,0.127,-0.499,-0.097,0.543,-0.839,-0.084,1.0,0.392,0.332,0.497,0.346,0.446,0.349,-0.662,0.805,0.402,-0.814,-0.763,-0.119,0.246,0.278,-0.736,0.299,-0.612,-0.819,0.924,0.975,0.859
PopScolara,0.717,-0.799,-0.239,0.295,0.107,-0.482,0.829,0.101,-0.501,0.392,1.0,0.806,0.836,0.928,0.77,0.53,0.099,0.799,0.969,-0.233,-0.461,0.341,-0.107,-0.201,-0.422,0.302,-0.524,-0.805,0.404,0.338,0.481
PaturiUS,0.264,-0.587,-0.491,0.536,0.419,-0.582,0.929,0.08,-0.547,0.332,0.806,1.0,0.983,0.922,0.967,0.375,0.338,0.75,0.889,-0.351,-0.555,0.515,-0.546,-0.191,-0.596,-0.195,-0.645,-0.557,0.54,0.365,0.417
Medici,0.253,-0.617,-0.463,0.523,0.289,-0.541,0.962,-0.081,-0.51,0.497,0.836,0.983,1.0,0.921,0.97,0.428,0.18,0.847,0.911,-0.479,-0.663,0.444,-0.44,-0.133,-0.673,-0.099,-0.696,-0.683,0.664,0.518,0.543
VolumeB,0.486,-0.582,-0.202,0.24,0.157,-0.715,0.856,0.138,-0.724,0.346,0.928,0.922,0.921,1.0,0.928,0.512,0.196,0.829,0.927,-0.168,-0.396,0.589,-0.261,-0.056,-0.618,0.129,-0.715,-0.715,0.49,0.307,0.509
SpectatoriS,0.148,-0.435,-0.298,0.367,0.211,-0.677,0.882,-0.059,-0.667,0.446,0.77,0.967,0.97,0.928,1.0,0.476,0.156,0.838,0.84,-0.366,-0.549,0.622,-0.396,0.049,-0.77,-0.076,-0.785,-0.637,0.674,0.446,0.537
VizitatoriM,0.302,-0.342,0.378,0.034,-0.256,-0.13,0.237,-0.292,-0.322,0.349,0.53,0.375,0.428,0.512,0.476,1.0,-0.469,0.535,0.57,-0.272,-0.444,0.619,0.456,0.57,-0.438,0.695,-0.239,-0.619,0.422,0.182,0.126
SportiviL,0.212,-0.178,-0.574,0.366,0.86,-0.244,0.215,0.839,-0.13,-0.662,0.099,0.338,0.18,0.196,0.156,-0.469,1.0,-0.296,0.137,0.44,0.322,0.115,-0.837,-0.712,0.367,-0.71,0.136,0.474,-0.507,-0.531,-0.405
PIB,0.219,-0.46,-0.095,0.147,-0.256,-0.551,0.826,-0.407,-0.555,0.805,0.799,0.75,0.847,0.829,0.838,0.535,-0.296,1.0,0.792,-0.542,-0.651,0.332,0.025,0.185,-0.849,0.293,-0.843,-0.936,0.854,0.755,0.848
SalariatiC,0.605,-0.829,-0.364,0.483,0.25,-0.405,0.882,0.039,-0.424,0.402,0.969,0.889,0.911,0.927,0.84,0.57,0.137,0.792,1.0,-0.368,-0.602,0.382,-0.23,-0.206,-0.448,0.18,-0.49,-0.757,0.469,0.373,0.41
PAgrVeg,0.239,0.405,0.445,-0.611,0.04,-0.298,-0.526,0.811,-0.325,-0.814,-0.233,-0.351,-0.479,-0.168,-0.366,-0.272,0.44,-0.542,-0.368,1.0,0.957,0.245,0.06,-0.027,0.457,0.027,0.237,0.529,-0.784,-0.865,-0.475
PAgrAnim,0.033,0.593,0.482,-0.7,-0.086,-0.181,-0.675,0.666,-0.184,-0.763,-0.461,-0.555,-0.663,-0.396,-0.549,-0.444,0.322,-0.651,-0.602,0.957,1.0,0.058,0.122,0.019,0.485,-0.029,0.285,0.631,-0.774,-0.794,-0.441
ServAgr,0.035,0.099,0.351,-0.151,0.056,-0.664,0.198,0.233,-0.781,-0.119,0.341,0.515,0.444,0.589,0.622,0.619,0.115,0.332,0.382,0.245,0.058,1.0,-0.045,0.515,-0.501,0.161,-0.462,-0.173,0.189,-0.219,-0.01
Silvicultura,0.129,0.202,0.827,-0.645,-0.86,0.213,-0.492,-0.409,0.053,0.246,-0.107,-0.546,-0.44,-0.261,-0.396,0.456,-0.837,0.025,-0.23,0.06,0.122,-0.045,1.0,0.651,-0.017,0.907,0.11,-0.295,0.038,0.058,0.103
SupLoc,-0.409,0.548,0.811,-0.566,-0.698,-0.182,-0.329,-0.49,-0.338,0.278,-0.201,-0.191,-0.133,-0.056,0.049,0.57,-0.712,0.185,-0.206,-0.027,0.019,0.515,0.651,1.0,-0.516,0.544,-0.298,-0.195,0.377,0.124,0.173
DrumuriM,0.266,-0.038,-0.111,0.064,0.365,0.643,-0.584,0.512,0.649,-0.736,-0.422,-0.596,-0.673,-0.618,-0.77,-0.438,0.367,-0.849,-0.448,0.457,0.485,-0.501,-0.017,-0.516,1.0,-0.13,0.929,0.679,-0.905,-0.695,-0.801
Innoptari,0.453,-0.141,0.716,-0.486,-0.72,0.021,-0.173,-0.273,-0.157,0.299,0.302,-0.195,-0.099,0.129,-0.076,0.695,-0.71,0.293,0.18,0.027,-0.029,0.161,0.907,0.544,-0.13,1.0,-0.044,-0.557,0.124,0.09,0.189
BugetVenituri,0.091,0.002,-0.045,0.152,0.297,0.836,-0.656,0.246,0.794,-0.612,-0.524,-0.645,-0.696,-0.715,-0.785,-0.239,0.136,-0.843,-0.49,0.237,0.285,-0.462,0.11,-0.298,0.929,-0.044,1.0,0.656,-0.76,-0.59,-0.855
BugetSubventii,-0.403,0.556,-0.036,-0.064,0.411,0.348,-0.685,0.457,0.391,-0.819,-0.805,-0.557,-0.683,-0.715,-0.637,-0.619,0.474,-0.936,-0.757,0.529,0.631,-0.173,-0.295,-0.195,0.679,-0.557,0.656,1.0,-0.749,-0.726,-0.789
Apa,-0.276,-0.161,-0.1,0.197,-0.334,-0.299,0.636,-0.76,-0.29,0.924,0.404,0.54,0.664,0.49,0.674,0.422,-0.507,0.854,0.469,-0.784,-0.774,0.189,0.038,0.377,-0.905,0.124,-0.76,-0.749,1.0,0.912,0.816
Canal,-0.204,-0.265,-0.255,0.258,-0.353,-0.061,0.599,-0.813,-0.003,0.975,0.338,0.365,0.518,0.307,0.446,0.182,-0.531,0.755,0.373,-0.865,-0.794,-0.219,0.058,0.124,-0.695,0.09,-0.59,-0.726,0.912,1.0,0.845
Export,-0.028,-0.136,-0.021,-0.124,-0.504,-0.51,0.614,-0.52,-0.443,0.859,0.481,0.417,0.543,0.509,0.537,0.126,-0.405,0.848,0.41,-0.475,-0.441,-0.01,0.103,0.173,-0.801,0.189,-0.855,-0.789,0.816,0.845,1.0
