,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.484,0.822,-0.701,-0.084,-0.715,0.255,-0.508,-0.726,-0.132,0.195,-0.682,-0.291,0.132,0.273,0.128,0.575,-0.108,-0.051,-0.124,-0.21,0.334,0.122,-0.264,-0.132,0.051,0.141,0.127,0.236,-0.131,-0.097
RM,-0.484,1.0,-0.693,0.177,0.219,0.539,-0.559,-0.099,0.657,-0.761,-0.891,-0.262,-0.437,-0.803,-0.722,-0.75,-0.486,-0.721,-0.57,0.761,0.505,0.245,-0.779,-0.565,0.858,-0.556,0.757,0.789,-0.827,-0.627,-0.622
RMI,0.822,-0.693,1.0,-0.745,-0.53,-0.561,0.457,-0.071,-0.749,0.195,0.576,-0.402,0.234,0.62,0.446,0.151,0.614,0.33,0.379,-0.474,-0.107,0.391,0.473,0.122,-0.478,0.25,-0.096,-0.155,0.47,0.369,0.361
Emigranti,-0.701,0.177,-0.745,1.0,0.589,0.52,-0.436,-0.035,0.515,0.256,-0.213,0.594,-0.149,-0.109,-0.018,0.319,-0.766,0.183,-0.305,0.098,0.078,-0.361,-0.28,0.023,-0.074,0.222,-0.338,-0.293,0.093,-0.076,-0.224
Imigranti,-0.084,0.219,-0.53,0.589,1.0,0.209,-0.649,-0.444,0.43,-0.281,-0.513,-0.054,-0.701,-0.565,-0.373,0.118,-0.519,-0.472,-0.557,0.588,0.024,-0.248,-0.505,-0.487,0.399,-0.308,-0.044,0.113,-0.295,-0.72,-0.625
RS,-0.715,0.539,-0.561,0.52,0.209,1.0,-0.757,0.386,0.903,-0.295,-0.429,0.167,0.026,-0.123,-0.661,-0.54,-0.833,-0.17,-0.091,0.525,0.789,0.245,-0.411,-0.228,0.386,-0.424,0.119,0.228,-0.506,-0.219,-0.183
Sal,0.255,-0.559,0.457,-0.436,-0.649,-0.757,1.0,0.207,-0.754,0.638,0.743,0.32,0.588,0.459,0.752,0.53,0.849,0.561,0.554,-0.838,-0.774,-0.408,0.764,0.741,-0.629,0.565,-0.362,-0.522,0.615,0.74,0.691
CSom,-0.508,-0.099,-0.071,-0.035,-0.444,0.386,0.207,1.0,0.373,0.341,0.468,0.583,0.869,0.407,-0.17,-0.134,0.121,0.324,0.846,-0.212,0.043,-0.312,0.61,0.689,-0.158,-0.203,-0.447,-0.41,-0.086,0.552,0.786
AjSoc,-0.726,0.657,-0.749,0.515,0.43,0.903,-0.754,0.373,1.0,-0.412,-0.547,0.176,-0.092,-0.428,-0.824,-0.543,-0.717,-0.433,-0.123,0.704,0.581,-0.029,-0.429,-0.244,0.614,-0.651,0.126,0.28,-0.718,-0.428,-0.25
Pensie,-0.132,-0.761,0.195,0.256,-0.281,-0.295,0.638,0.341,-0.412,1.0,0.865,0.784,0.668,0.759,0.799,0.847,0.264,0.929,0.588,-0.898,-0.588,-0.56,0.781,0.862,-0.929,0.766,-0.873,-0.962,0.866,0.86,0.743
