,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.297,-0.045,-0.258,-0.045,-0.22,0.435,-0.653,-0.255,-0.006,0.273,-0.36,0.147,-0.231,-0.122,0.298,0.187,0.116,0.429,-0.557,0.066,-0.554,0.0,-0.019,-0.68,0.332,-0.11,-0.074,-0.767,-0.398,0.105
RM,-0.297,1.0,0.028,-0.707,-0.574,0.178,-0.549,-0.037,0.223,-0.651,-0.823,0.018,-0.641,-0.361,0.274,-0.657,-0.361,-0.426,-0.337,0.727,0.746,0.598,0.234,-0.592,0.586,-0.472,-0.277,0.206,-0.08,-0.359,-0.635
RMI,-0.045,0.028,1.0,0.035,-0.327,-0.652,0.475,0.614,-0.616,-0.114,-0.244,-0.378,-0.059,0.608,-0.047,0.543,-0.392,0.2,0.69,-0.019,0.186,-0.05,-0.052,-0.093,0.573,0.208,0.903,0.866,-0.18,-0.351,0.481
Emigranti,-0.258,-0.707,0.035,1.0,0.824,-0.031,0.43,0.351,-0.211,0.799,0.604,0.238,0.5,0.665,-0.249,0.26,-0.209,0.25,0.29,-0.24,-0.819,-0.018,-0.578,0.122,-0.241,0.143,0.258,-0.089,0.496,0.686,0.488
Imigranti,-0.045,-0.574,-0.327,0.824,1.0,0.412,0.269,0.084,0.197,0.672,0.47,0.152,0.212,0.498,0.101,-0.089,-0.265,-0.132,0.231,-0.098,-0.577,-0.15,-0.459,-0.068,-0.472,-0.183,-0.13,-0.288,0.224,0.517,0.24
RS,-0.22,0.178,-0.652,-0.031,0.412,1.0,-0.344,-0.012,0.901,0.031,-0.101,0.284,-0.313,-0.064,0.597,-0.523,-0.058,-0.468,-0.333,0.271,0.19,-0.119,0.114,-0.044,-0.137,-0.501,-0.609,-0.512,0.157,0.127,-0.18
Sal,0.435,-0.549,0.475,0.43,0.269,-0.344,1.0,0.097,-0.617,0.665,0.594,0.124,0.609,0.612,-0.408,0.739,-0.302,0.626,0.825,-0.722,-0.432,-0.383,-0.646,-0.003,-0.36,0.676,0.406,0.108,-0.068,0.195,0.842
CSom,-0.653,-0.037,0.614,0.351,0.084,-0.012,0.097,1.0,0.045,0.011,-0.243,-0.12,-0.189,0.756,0.354,0.271,-0.296,-0.077,0.293,0.261,0.066,-0.048,0.091,0.179,0.724,-0.183,0.728,0.574,0.326,-0.015,0.46
AjSoc,-0.255,0.223,-0.616,-0.211,0.197,0.901,-0.617,0.045,1.0,-0.309,-0.305,-0.005,-0.526,-0.229,0.76,-0.533,0.21,-0.64,-0.488,0.404,0.38,-0.199,0.519,0.163,0.041,-0.644,-0.483,-0.352,0.016,-0.134,-0.346
Pensie,-0.006,-0.651,-0.114,0.799,0.672,0.031,0.665,0.011,-0.309,1.0,0.862,0.631,0.823,0.454,-0.552,0.377,-0.166,0.629,0.265,-0.598,-0.882,-0.046,-0.843,0.088,-0.536,0.548,-0.052,-0.455,0.543,0.835,0.616
PopScolara,0.273,-0.823,-0.244,0.604,0.47,-0.101,0.594,-0.243,-0.305,0.862,1.0,0.492,0.927,0.128,-0.631,0.56,0.315,0.738,0.121,-0.857,-0.885,-0.317,-0.565,0.443,-0.742,0.738,-0.097,-0.588,0.355,0.682,0.584
PaturiUS,-0.36,0.018,-0.378,0.238,0.152,0.284,0.124,-0.12,-0.005,0.631,0.492,1.0,0.618,-0.077,-0.535,-0.046,-0.058,0.575,-0.37,-0.253,-0.516,0.393,-0.636,-0.006,-0.21,0.427,-0.487,-0.706,0.807,0.838,0.167
Medici,0.147,-0.641,-0.059,0.5,0.212,-0.313,0.609,-0.189,-0.526,0.823,0.927,0.618,1.0,0.094,-0.839,0.608,0.243,0.922,0.082,-0.827,-0.861,-0.083,-0.652,0.366,-0.541,0.885,-0.012,-0.491,0.486,0.724,0.582
VolumeB,-0.231,-0.361,0.608,0.665,0.498,-0.064,0.612,0.756,-0.229,0.454,0.128,-0.077,0.094,1.0,0.145,0.408,-0.582,0.08,0.743,-0.067,-0.238,-0.188,-0.396,-0.077,0.236,0.02,0.671,0.478,0.156,0.149,0.704
SpectatoriS,-0.122,0.274,-0.047,-0.249,0.101,0.597,-0.408,0.354,0.76,-0.552,-0.631,-0.535,-0.839,0.145,1.0,-0.365,-0.107,-0.846,0.037,0.551,0.682,-0.336,0.641,-0.033,0.345,-0.795,0.047,0.302,-0.398,-0.595,-0.208
VizitatoriM,0.298,-0.657,0.543,0.26,-0.089,-0.523,0.739,0.271,-0.533,0.377,0.56,-0.046,0.608,0.408,-0.365,1.0,0.276,0.713,0.543,-0.803,-0.367,-0.595,-0.14,0.593,-0.137,0.782,0.645,0.178,-0.019,0.027,0.87
SportiviL,0.187,-0.361,-0.392,-0.209,-0.265,-0.058,-0.302,-0.296,0.21,-0.166,0.315,-0.058,0.243,-0.582,-0.107,0.276,1.0,0.207,-0.513,-0.405,-0.139,-0.429,0.545,0.843,-0.289,0.287,-0.14,-0.406,-0.016,-0.049,-0.053
PIB,0.116,-0.426,0.2,0.25,-0.132,-0.468,0.626,-0.077,-0.64,0.629,0.738,0.575,0.922,0.08,-0.846,0.713,0.207,1.0,0.134,-0.794,-0.634,-0.045,-0.556,0.348,-0.285,0.971,0.15,-0.288,0.428,0.533,0.624
SalariatiC,0.429,-0.337,0.69,0.29,0.231,-0.333,0.825,0.293,-0.488,0.265,0.121,-0.37,0.082,0.743,0.037,0.543,-0.513,0.134,1.0,-0.322,-0.02,-0.416,-0.335,-0.215,-0.061,0.221,0.623,0.559,-0.429,-0.254,0.647
PAgrVeg,-0.557,0.727,-0.019,-0.24,-0.098,0.271,-0.722,0.261,0.404,-0.598,-0.857,-0.253,-0.827,-0.067,0.551,-0.803,-0.405,-0.794,-0.322,1.0,0.563,0.58,0.342,-0.522,0.659,-0.886,-0.086,0.37,-0.004,-0.275,-0.702
PAgrAnim,0.066,0.746,0.186,-0.819,-0.577,0.19,-0.432,0.066,0.38,-0.882,-0.885,-0.516,-0.861,-0.238,0.682,-0.367,-0.139,-0.634,-0.02,0.563,1.0,-0.038,0.656,-0.288,0.52,-0.547,0.011,0.453,-0.588,-0.855,-0.426
ServAgr,-0.554,0.598,-0.05,-0.018,-0.15,-0.119,-0.383,-0.048,-0.199,-0.046,-0.317,0.393,-0.083,-0.188,-0.336,-0.595,-0.429,-0.045,-0.416,0.58,-0.038,1.0,-0.336,-0.606,0.375,-0.217,-0.254,0.007,0.473,0.363,-0.547
Silvicultura,0.0,0.234,-0.052,-0.578,-0.459,0.114,-0.646,0.091,0.519,-0.843,-0.565,-0.636,-0.652,-0.396,0.641,-0.14,0.545,-0.556,-0.335,0.342,0.656,-0.336,1.0,0.407,0.355,-0.458,0.104,0.259,-0.442,-0.723,-0.384
SupLoc,-0.019,-0.592,-0.093,0.122,-0.068,-0.044,-0.003,0.179,0.163,0.088,0.443,-0.006,0.366,-0.077,-0.033,0.593,0.843,0.348,-0.215,-0.522,-0.288,-0.606,0.407,1.0,-0.126,0.387,0.228,-0.234,0.182,0.076,0.412
DrumuriM,-0.68,0.586,0.573,-0.241,-0.472,-0.137,-0.36,0.724,0.041,-0.536,-0.742,-0.21,-0.541,0.236,0.345,-0.137,-0.289,-0.285,-0.061,0.659,0.52,0.375,0.355,-0.126,1.0,-0.385,0.503,0.678,0.157,-0.319,-0.125
Innoptari,0.332,-0.472,0.208,0.143,-0.183,-0.501,0.676,-0.183,-0.644,0.548,0.738,0.427,0.885,0.02,-0.795,0.782,0.287,0.971,0.221,-0.886,-0.547,-0.217,-0.458,0.387,-0.385,1.0,0.16,-0.261,0.213,0.366,0.636
BugetVenituri,-0.11,-0.277,0.903,0.258,-0.13,-0.609,0.406,0.728,-0.483,-0.052,-0.097,-0.487,-0.012,0.671,0.047,0.645,-0.14,0.15,0.623,-0.086,0.011,-0.254,0.104,0.228,0.503,0.16,1.0,0.819,-0.118,-0.288,0.558
BugetSubventii,-0.074,0.206,0.866,-0.089,-0.288,-0.512,0.108,0.574,-0.352,-0.455,-0.588,-0.706,-0.491,0.478,0.302,0.178,-0.406,-0.288,0.559,0.37,0.453,0.007,0.259,-0.234,0.678,-0.261,0.819,1.0,-0.408,-0.612,0.093
