,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.125,-1.35,0.525,-150.279,-457.458,-0.375,-795.0,-75.487,4.486,-369.75,-103.186,-698.877,-495.551,-13158.947,-184.09,-526.8,-7.153,-61741.121,-12.685,797.272,177.39,-214.433,-0.842,12.589,62.315,-477.76,-1624.668,77.838,-36.417,-39.876,-620.032
RM,-1.35,1.62,-0.63,180.335,548.95,0.45,954.0,90.585,-5.384,443.7,123.823,838.652,594.661,15790.737,220.908,632.16,8.583,74089.346,15.223,-956.726,-212.868,257.32,1.01,-15.107,-74.778,573.313,1949.602,-93.406,43.7,47.851,744.039
RMI,0.525,-0.63,0.245,-70.13,-213.48,-0.175,-371.0,-35.228,2.094,-172.55,-48.153,-326.143,-231.257,-6140.842,-85.909,-245.84,-3.338,-28812.523,-5.92,372.06,82.782,-100.069,-0.393,5.875,29.08,-222.955,-758.178,36.324,-16.995,-18.609,-289.348
Emigranti,-150.279,180.335,-70.13,20074.469,61107.85,50.093,106197.16,10083.721,-599.313,49391.698,13783.69,93356.921,66196.297,1757789.719,24590.954,70370.646,955.474,8247461.298,1694.546,-106500.623,-23695.993,28644.279,112.47,-1681.722,-8324.154,63819.885,217025.318,-10397.704,4864.631,5326.689,82824.724
Imigranti,-457.458,548.95,-213.48,61107.85,186015.842,152.486,323270.32,30695.432,-1824.343,150351.196,41958.353,284183.889,201505.369,5350813.948,74856.292,214212.333,2908.518,25105750.973,5158.296,-324194.08,-72131.977,87194.849,342.365,-5119.26,-25339.209,194271.434,660637.666,-31651.214,14808.22,16214.751,252123.269
RS,-0.375,0.45,-0.175,50.093,152.486,0.125,265.0,25.162,-1.496,123.25,34.395,232.959,165.184,4386.316,61.363,175.6,2.384,20580.374,4.228,-265.757,-59.13,71.478,0.281,-4.196,-20.772,159.254,541.556,-25.946,12.139,13.292,206.677
Sal,-795.0,954.0,-371.0,106197.16,323270.32,265.0,561800.0,53344.5,-3170.46,261290.0,72917.93,493873.08,350189.02,9298989.39,130090.09,372272.0,5054.61,43630392.35,8964.42,-563405.37,-125355.6,151532.83,594.983,-8896.58,-44036.11,337617.42,1148098.72,-55005.52,25734.68,28179.04,438156.068
CSom,-75.487,90.585,-35.228,10083.721,30695.432,25.162,53344.5,5065.211,-301.044,24810.225,6923.764,46894.647,33251.439,882965.36,12352.422,35348.28,479.95,4142829.236,851.197,-53496.934,-11902.869,14388.471,56.495,-844.755,-4181.353,32057.73,109015.223,-5222.93,2443.581,2675.68,41604.159
AjSoc,4.486,-5.384,2.094,-599.313,-1824.343,-1.496,-3170.46,-301.044,17.892,-1474.563,-411.505,-2787.121,-1976.255,-52477.882,-734.15,-2100.878,-28.525,-246223.592,-50.59,3179.52,707.431,-855.16,-3.358,50.207,248.513,-1905.309,-6479.176,310.418,-145.231,-159.025,-2472.688
Pensie,-369.75,443.7,-172.55,49391.698,150351.196,123.25,261290.0,24810.225,-1474.563,121524.5,33913.716,229697.574,162870.931,4324907.33,60504.164,173141.6,2350.871,20292248.518,4169.301,-262036.648,-58302.18,70477.062,276.723,-4137.749,-20480.945,157023.951,533974.216,-25582.756,11969.054,13105.912,203783.907
