,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.658,-0.886,0.718,-12.621,-0.575,-0.876,42.477,-22.926,-10.815,-18.303,2.525,-76.028,-12.967,109.534,3.044,40.362,0.357,-870.316,-5.4,-165.172,-87.395,37.245,0.043,-0.289,-13.453,17.921,27.649,15.051,4.18,-1.137,-321.17
RM,-0.886,5.102,-1.688,8.898,4.195,1.84,-259.243,-12.419,27.291,-294.103,-32.071,-81.451,-54.267,-1849.069,-22.434,-656.899,-0.84,-16125.546,-167.126,2832.295,584.947,76.043,-0.767,-1.722,244.305,-544.365,412.954,260.73,-40.749,-15.132,-5708.421
RMI,0.718,-1.688,1.162,-17.835,-4.849,-0.914,101.223,-4.248,-14.828,36.063,9.898,-59.627,13.869,681.602,6.612,63.26,0.507,3528.951,53.034,-841.655,-58.918,57.914,0.223,0.178,-65.018,116.664,-24.911,-24.397,11.054,4.247,1579.831
Emigranti,-12.621,8.898,-17.835,492.833,110.901,17.432,-1989.405,-43.633,209.971,973.416,-75.379,1811.486,-181.612,-2463.568,-5.442,2741.899,-13.014,40289.77,-879.037,3585.285,883.146,-1101.465,-2.714,0.676,-207.76,2138.452,-1812.389,-950.546,45.266,-18.054,-20255.189
Imigranti,-0.575,4.195,-4.849,110.901,72.005,2.683,-1131.554,-209.973,67.118,-408.444,-69.342,-62.429,-327.041,-4888.696,-43.567,386.741,-3.37,-39668.894,-613.616,8225.852,105.857,-288.585,-1.868,-5.573,426.915,-1131.928,-90.639,139.655,-54.572,-65.251,-21566.724
RS,-0.876,1.84,-0.914,17.432,2.683,2.284,-234.96,32.455,25.079,-76.2,-10.346,34.68,2.159,-189.884,-13.742,-316.625,-0.963,-2539.714,-17.887,1306.471,612.194,50.8,-0.271,-0.466,73.547,-277.453,43.338,50.364,-16.686,-3.543,-1122.694
Sal,42.477,-259.243,101.223,-1989.405,-1131.554,-234.96,42223.367,2367.412,-2849.155,22434.167,2433.267,9050.399,6643.112,96204.893,2126.392,42225.486,133.52,1142681.277,14776.97,-283658.148,-81562.548,-11530.133,68.519,205.579,-16301.551,50302.743,-17997.918,-15689.486,2756.131,1623.376,577256.567
CSom,-22.926,-12.419,-4.248,-43.633,-209.973,32.455,2367.412,3100.684,382.039,3252.056,415.534,4459.781,2658.931,23097.523,-130.634,-2889.089,5.161,178590.469,6119.658,-19471.177,1239.203,-2390.124,14.819,51.76,-1109.641,-4894.285,-6012.575,-3334.981,-104.334,328.225,177869.694
AjSoc,-10.815,27.291,-14.828,209.971,67.118,25.079,-2849.155,382.039,337.795,-1294.621,-160.159,445.947,-92.903,-8025.319,-208.306,-3869.905,-10.086,-78864.908,-293.107,21326.406,5474.964,-74.32,-3.436,-6.061,1422.877,-5184.062,559.483,751.61,-287.905,-84.116,-18700.043
Pensie,-18.303,-294.103,36.063,973.416,-408.444,-76.2,22434.167,3252.056,-1294.621,29295.767,2359.779,18446.622,6284.192,132523.255,1882.917,56171.027,34.645,1576228.937,13076.552,-253160.655,-51681.557,-13176.459,58.294,199.025,-20045.937,56820.741,-36092.785,-24069.286,3235.375,1572.84,516656.643
PopScolara,2.525,-32.071,9.898,-75.379,-69.342,-10.346,2433.267,415.534,-160.159,2359.779,254.185,1112.691,689.164,14110.025,153.038,3995.856,7.029,130974.4,1719.775,-23066.014,-4357.719,-817.916,6.665,18.36,-1757.458,3739.014,-3049.516,-2002.262,266.341,149.376,58417.382
PaturiUS,-76.028,-81.451,-59.627,1811.486,-62.429,34.68,9050.399,4459.781,445.947,18446.622,1112.691,18901.141,4844.481,52888.627,658.633,29823.035,-8.499,879614.526,8887.92,-116743.464,-28752.301,-14176.667,32.212,150.254,-9059.316,24728.299,-25558.496,-16014.574,1232.968,929.732,342386.037
Medici,-12.967,-54.267,13.869,-181.612,-327.041,2.159,6643.112,2658.931,-92.903,6284.192,689.164,4844.481,3019.264,40227.465,243.315,4305.652,15.633,375297.883,6589.254,-59628.881,-6108.102,-2386.628,20.14,66.375,-3983.871,6090.748,-7760.194,-5177.129,445.422,519.717,214928.302
VolumeB,109.534,-1849.069,681.602,-2463.568,-4888.696,-189.884,96204.893,23097.523,-8025.319,132523.255,14110.025,52888.627,40227.465,1040401.27,8801.026,181678.218,178.816,9045120.828,89758.35,-1337592.645,-50544.149,4894.498,323.547,872.348,-113547.742,260355.519,-157834.78,-106220.019,17077.882,9288.433,3093095.974
SpectatoriS,3.044,-22.434,6.612,-5.442,-43.567,-13.742,2126.392,-130.634,-208.306,1882.917,153.038,658.633,243.315,8801.026,189.409,4397.528,4.541,109659.003,388.228,-20947.254,-4457.573,-461.481,3.23,10.149,-1550.262,5639.571,-1602.493,-1314.13,287.8,104.175,23787.278
VizitatoriM,40.362,-656.899,63.26,2741.899,386.741,-316.625,42225.486,-2889.089,-3869.905,56171.027,3995.856,29823.035,4305.652,181678.218,4397.528,150274.566,77.275,2626441.483,10583.221,-466144.08,-151216.762,-32860.943,91.176,293.835,-38940.73,127890.029,-72256.925,-47453.623,7228.874,2079.843,579991.786
SportiviL,0.357,-0.84,0.507,-13.014,-3.37,-0.963,133.52,5.161,-10.086,34.645,7.029,-8.499,15.633,178.816,4.541,77.275,0.586,1154.695,51.237,-638.438,-269.548,-27.887,0.223,0.479,-28.467,45.676,-27.882,-26.18,4.793,3.213,1661.265
PIB,-870.316,-16125.546,3528.951,40289.77,-39668.894,-2539.714,1142681.277,178590.469,-78864.908,1576228.937,130974.4,879614.526,375297.883,9045120.828,109659.003,2626441.483,1154.695,98180834.856,696781.231,-14915035.15,-1605258.789,-312249.075,2948.578,10064.861,-1203336.275,3550672.778,-1711865.213,-1208484.155,192751.298,97171.19,28274690.408
SalariatiC,-5.4,-167.126,53.034,-879.037,-613.616,-17.887,14776.97,6119.658,-293.107,13076.552,1719.775,8887.92,6589.254,89758.35,388.228,10583.221,51.237,696781.231,16869.554,-118021.172,-19233.017,-6481.999,52.142,146.553,-8195.227,3137.193,-20460.429,-12337.897,832.639,1031.554,510465.808
PAgrVeg,-165.172,2832.295,-841.655,3585.285,8225.852,1306.471,-283658.148,-19471.177,21326.406,-253160.655,-23066.014,-116743.464,-59628.881,-1337592.645,-20947.254,-466144.08,-638.438,-14915035.15,-118021.172,2714399.376,494037.71,69205.809,-554.911,-1754.429,195827.605,-605535.849,244271.403,186207.566,-32779.054,-16173.883,-4881068.671
