,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.411,-0.375,-0.063,-11.093,-11.365,-0.256,36.479,-19.15,-2.856,-0.617,3.718,-27.839,7.644,-150.838,-1.444,57.451,0.544,660.153,11.741,-258.908,28.944,-100.177,0.0,-0.028,-33.677,515.307,-59.708,-11.93,-7.554,-4.67,62.684
RM,-0.375,3.879,0.122,-93.453,-449.843,0.636,-141.293,-3.33,7.689,-220.083,-34.417,4.383,-102.703,-722.901,9.94,-389.293,-3.234,-7419.95,-28.371,1037.236,1010.944,332.018,0.26,-2.671,89.023,-2252.219,-464.002,101.725,-2.423,-12.93,-1164.302
RMI,-0.063,0.122,4.72,5.154,-282.389,-2.575,134.883,60.961,-23.398,-42.367,-11.238,-99.249,-10.343,1344.536,-1.864,355.0,-3.868,3840.74,64.008,-29.324,277.79,-30.649,-0.064,-0.462,96.125,1095.118,1667.854,472.387,-5.988,-13.95,973.389
Emigranti,-11.093,-93.453,5.154,4502.897,21993.447,-3.726,3767.142,1077.166,-247.386,9208.512,860.278,1930.568,2726.305,45423.923,-307.394,5260.665,-63.715,148632.399,830.142,-11662.189,-37820.638,-348.44,-21.855,18.769,-1249.884,23249.101,14735.929,-1496.458,510.891,842.089,30479.498
Imigranti,-11.365,-449.843,-282.389,21993.447,158062.382,297.848,13993.413,1523.514,1366.08,45863.077,3966.783,7281.387,6845.413,201609.845,743.082,-10611.96,-479.281,-462944.36,3928.961,-28146.737,-157892.34,-16789.939,-102.758,-62.161,-14487.821,-175818.128,-43980.602,-28740.304,1369.432,3761.628,88948.097
RS,-0.256,0.636,-2.575,-3.726,297.848,3.303,-81.669,-0.993,28.615,9.567,-3.911,62.376,-46.258,-117.456,19.975,-286.098,-0.478,-7526.882,-25.873,356.297,238.054,-61.136,0.116,-0.181,-19.158,-2205.675,-940.352,-233.392,4.382,4.232,-304.396
Sal,36.479,-141.293,134.883,3767.142,13993.413,-81.669,17070.238,581.961,-1410.186,14913.833,1646.909,1951.141,6463.808,81380.94,-982.746,29067.526,-179.144,723660.217,4599.801,-68400.232,-38843.022,-14105.451,-47.546,-0.807,-3630.434,213974.561,45050.093,3534.564,-136.447,465.23,102381.964
CSom,-19.15,-3.33,60.961,1077.166,1523.514,-0.993,581.961,2089.976,35.743,83.571,-235.893,-662.788,-700.791,35177.544,297.694,3724.246,-61.584,-31122.588,572.397,8635.975,2063.752,-618.192,2.34,18.783,2555.577,-20289.699,28272.065,6587.69,228.468,-12.359,19565.491
AjSoc,-2.856,7.689,-23.398,-247.386,1366.08,28.615,-1410.186,35.743,305.578,-926.442,-113.313,-9.786,-746.934,-4070.195,244.723,-2804.777,16.703,-99072.282,-364.36,5112.55,4569.789,-981.911,5.117,6.541,55.357,-27262.331,-7170.882,-1542.098,4.295,-42.977,-5626.901
Pensie,-0.617,-220.083,-42.367,9208.512,45863.077,9.567,14913.833,83.571,-926.442,29498.667,3140.287,13089.418,11493.788,79344.322,-1744.477,19491.918,-129.604,956212.555,1941.894,-74389.949,-104280.36,-2246.42,-81.572,34.593,-7101.694,228031.056,-7613.513,-19608.952,1431.832,2623.366,98531.892
