,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.527,-1.9,-0.383,-11.887,23.268,-1.25,470.3,-84.832,-7.574,-169.633,35.174,0.678,275.41,471.242,14.594,-510.284,5.131,16296.694,78.589,1103.252,311.5,51.746,-1.058,1.356,-151.682,-604.539,-230.532,-158.228,8.221,-2.107,5391.835
RM,-1.9,3.562,1.975,-22.446,-42.483,1.687,-782.0,203.308,9.244,327.0,-46.466,-12.608,-429.186,-229.105,-18.45,670.65,-4.711,-21860.028,-120.507,-873.845,-669.2,-52.536,1.338,-2.283,180.557,218.934,215.208,141.466,-7.886,5.335,-6505.162
RMI,-0.383,1.975,2.443,-42.842,-23.629,0.525,-290.167,235.421,0.686,357.0,-8.584,73.463,-99.725,566.861,-1.478,340.847,2.021,-5378.299,-42.589,-427.468,-419.84,-11.958,0.091,-1.643,12.886,-705.046,-146.93,-81.613,7.311,17.046,-1494.566
Emigranti,-11.887,-22.446,-42.842,1251.44,237.901,5.707,2568.37,-2234.061,63.066,-2016.791,-184.578,498.593,663.592,-14406.949,-100.733,3130.202,-90.122,-76758.36,102.408,-25320.887,6342.969,-793.324,7.278,7.107,1413.229,20994.256,3843.974,2874.743,-126.864,-47.392,-48983.871
Imigranti,23.268,-42.483,-23.629,237.901,508.95,-20.625,9252.397,-2565.945,-111.559,-4206.539,559.811,-19.851,5030.404,2707.829,220.982,-8489.525,57.056,264933.323,1443.881,12608.347,7906.956,680.193,-15.995,28.421,-2191.521,-2841.144,-2491.645,-1689.57,86.938,-86.962,80595.19
RS,-1.25,1.687,0.525,5.707,-20.625,1.042,-399.5,89.191,6.085,168.2,-28.743,6.78,-227.44,-323.239,-11.732,438.156,-3.898,-13449.92,-66.305,-924.05,-285.012,-42.411,0.849,-1.23,121.832,417.742,169.616,118.372,-5.844,3.306,-4430.938
Sal,470.3,-782.0,-290.167,2568.37,9252.397,-399.5,188694.0,-27852.968,-2457.492,-44862.333,11840.585,15912.566,111115.551,123635.243,4939.77,-136813.793,1495.168,5386546.275,28799.195,137127.379,143810.836,11841.262,-360.79,428.652,-47703.788,-128225.62,-77195.702,-47743.311,3151.752,951.483,1565358.086
CSom,-84.832,203.308,235.421,-2234.061,-2565.945,89.191,-27852.968,30510.599,214.246,51749.571,-1473.421,16134.487,-7325.146,49182.161,-340.813,63880.686,87.192,-901066.665,-5146.534,-170806.587,-38257.399,-4583.589,21.527,-232.03,4863.918,-46732.386,-15371.274,-5815.59,983.745,2883.663,-359914.6
AjSoc,-7.574,9.244,0.686,63.066,-111.559,6.085,-2457.492,214.246,39.663,470.283,-181.625,-185.933,-1514.921,-2889.178,-77.668,2175.026,-28.245,-82040.929,-397.972,-3932.126,-1524.416,-229.705,5.667,-5.472,784.867,3475.886,1394.81,901.859,-54.584,-17.345,-25950.291
Pensie,-169.633,327.0,357.0,-2016.791,-4206.539,168.2,-44862.333,51749.571,470.283,90675.333,-2876.556,30380.916,-11245.231,67431.234,-739.174,120303.965,26.498,-1717732.749,-8950.608,-351344.52,-58120.797,-9537.285,47.721,-407.588,10721.766,-52303.751,-22504.091,-6379.001,1617.167,5190.47,-721347.714
