,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.218,-1.329,0.106,0.221,72.698,-0.664,136.299,-2.852,-4.88,-17.93,15.892,17.578,59.337,673.876,23.401,53.928,1.154,4680.106,71.576,-390.424,-106.61,-22.69,0.155,1.107,-66.643,58.076,51.68,-63.527,-2.233,1.52,500.901
RM,-1.329,5.238,0.52,-69.714,-287.125,1.482,-296.963,-16.816,13.733,-94.055,-36.809,-129.165,-151.148,-2021.595,-66.86,-431.412,-2.997,-15258.423,-174.087,1820.655,330.719,104.203,-0.481,-3.193,102.955,-874.626,-294.388,111.124,-6.371,-12.347,-1718.882
RMI,0.106,0.52,3.387,-24.349,-155.24,0.476,-261.265,14.79,4.204,-52.775,-3.56,-79.125,-75.536,-368.435,4.56,146.408,-1.853,-11857.193,-113.898,329.722,384.343,-6.535,0.419,-1.393,6.591,214.424,116.524,121.446,-1.604,-3.821,-572.634
Emigranti,0.221,-69.714,-24.349,6634.277,22769.589,-1.198,9071.582,-154.693,-28.675,3199.592,1009.767,4097.311,4581.706,72937.018,1518.747,11645.753,5.324,292212.717,3925.781,-43887.185,-9683.588,556.302,-13.788,-9.796,-232.324,2753.817,11622.574,-479.788,176.358,396.387,17727.55
Imigranti,72.698,-287.125,-155.24,22769.589,141072.68,103.084,27957.662,-3098.442,925.517,-1600.539,3427.832,11587.618,10045.565,271052.006,2100.159,-12434.779,-229.747,107853.079,9915.806,-115530.527,-36951.244,979.565,-84.11,-182.725,-5879.946,-82979.412,17493.625,2437.006,-1335.586,-77.862,-143966.961
RS,-0.664,1.482,0.476,-1.198,103.084,2.971,-331.573,-21.804,26.284,-98.012,-16.569,-72.095,-134.212,-1042.467,-24.432,-272.99,-3.894,-18176.283,-149.346,1025.361,301.374,-3.919,0.085,-2.715,67.49,-527.456,-276.311,74.271,-9.452,-9.077,-2036.264
Sal,136.299,-296.963,-261.265,9071.582,27957.662,-331.573,137725.975,-471.247,-3169.352,33848.71,7529.025,38177.128,52948.727,674925.357,13226.223,45343.11,761.443,6118189.417,51032.715,-262190.725,-130929.755,9244.389,-122.249,531.363,-21099.857,17424.39,69651.007,-34675.511,2591.853,3491.977,530054.282
CSom,-2.852,-16.816,14.79,-154.693,-3098.442,-21.804,-471.247,5603.351,-309.603,5577.939,214.951,4206.31,1318.27,45499.311,63.79,5729.378,96.798,279978.089,1510.716,-22086.12,3223.298,-1565.523,18.204,0.005,699.09,-3249.625,16348.893,-688.466,323.268,506.767,34031.982
AjSoc,-4.88,13.733,4.204,-28.675,925.517,26.284,-3169.352,-309.603,281.807,-1288.321,-167.52,-915.735,-1272.457,-12015.03,-200.736,-2214.486,-30.503,-190589.193,-1429.237,10568.75,3007.184,-290.023,-0.127,-23.76,594.4,-6581.385,-2859.931,862.766,-119.296,-110.39,-19162.498
Pensie,-17.93,-94.055,-52.775,3199.592,-1600.539,-98.012,33848.71,5577.939,-1288.321,35215.668,2370.574,21060.467,16410.244,222907.596,6861.382,59093.532,262.437,2289453.439,14255.678,-155937.195,-58138.883,-692.64,6.395,127.945,-3230.157,71111.242,20055.228,-14488.329,2055.547,2388.276,178258.48
PopScolara,15.892,-36.809,-3.56,1009.767,3427.832,-16.569,7529.025,214.951,-167.52,2370.574,914.477,4126.279,4344.242,65791.547,1434.152,6374.054,54.978,367405.203,2277.209,-19381.294,-5865.774,-210.629,1.199,0.119,-1600.504,9191.362,4962.374,-2242.572,227.05,314.612,28316.149
PaturiUS,17.578,-129.165,-79.125,4097.311,11587.618,-72.095,38177.128,4206.31,-915.735,21060.467,4126.279,33774.18,26255.725,381228.275,7139.349,28914.613,365.213,2275151.32,10849.879,-93534.094,-34619.436,753.824,15.659,-51.721,-4767.367,53201.734,23233.406,-13405.189,1582.768,2134.374,114063.833
Medici,59.337,-151.148,-75.536,4581.706,10045.565,-134.212,52948.727,1318.27,-1272.457,16410.244,4344.242,26255.725,32641.196,332821.728,5990.796,23522.2,461.928,2539050.258,16894.756,-92009.349,-43545.487,2046.781,-28.259,116.707,-9565.38,35595.261,23077.72,-16825.102,1334.644,1901.542,229511.143
