Indicativ,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
ab,-0.729,0.024,-0.02,-0.293,-0.378,-0.077,-0.031,0.572,0.223,0.305,0.034,0.056,-0.366,0.387,-0.564,-0.162,0.784,0.386,-0.483,0.327,1.962,-0.335,0.227,0.142,2.41,-0.108,0.218,0.015,0.687,0.408,1.695
ar,-0.179,0.334,-0.24,0.357,-0.343,-1.016,-0.263,-0.69,-1.121,-0.466,-0.018,-0.394,0.046,-0.104,-0.554,-0.762,1.163,0.505,0.253,1.578,0.06,0.105,0.401,0.589,0.746,-0.284,0.134,-0.228,0.181,-0.59,1.885
ag,-0.454,0.157,-0.24,-0.936,-0.445,-0.077,0.506,1.1,-0.112,0.796,0.047,-0.064,-0.083,-0.135,-0.591,-0.125,-0.405,0.208,1.296,-0.725,-0.73,-0.547,0.192,0.152,-1.125,-0.444,-1.257,-1.044,0.24,0.121,2.889
bc,-0.271,-0.418,-0.13,0.955,-0.061,0.863,-0.088,-1.013,1.223,0.197,-0.004,-0.744,-0.51,-0.133,-0.483,-0.712,-1.48,-0.572,-0.556,-0.957,-0.187,-0.531,0.643,-0.395,-0.432,-0.398,-0.44,0.101,-0.591,-0.285,-0.588
bh,1.105,0.068,0.035,-0.814,-0.433,-0.958,-0.694,0.525,-0.795,-0.008,0.786,0.653,0.936,-0.427,-0.026,0.502,-0.349,-0.106,-0.661,0.178,0.184,-0.397,-0.089,-0.189,-0.796,0.896,0.044,-0.08,0.088,-0.056,0.284
bn,1.197,-0.683,0.695,0.029,-0.352,-0.312,-0.871,2.983,-0.774,-1.06,0.239,-0.477,-0.57,-0.407,-0.658,-0.522,-0.127,-0.35,-0.41,-0.492,1.413,-0.497,0.922,-0.09,-0.861,-0.378,1.873,-0.291,0.067,-0.119,-0.195
bt,0.096,0.245,0.475,0.104,2.27,-0.605,-0.508,-0.137,-0.436,-1.405,-0.149,-0.292,-0.602,0.14,-0.277,-0.777,-0.564,-0.919,-0.653,0.725,1.822,-0.251,-0.666,-0.394,0.025,-0.696,-0.396,1.466,-1.799,-1.231,-0.769
br,-1.463,1.572,0.53,0.158,-0.429,0.217,-0.683,-0.324,0.007,-0.337,-0.743,0.251,-0.435,-0.552,-0.228,-0.696,-0.536,-0.256,-0.63,0.705,0.059,5.111,-0.831,-0.978,0.619,-0.424,-0.631,0.156,1.855,1.161,-0.805
bv,0.921,-0.993,0.255,0.559,-0.192,-0.781,0.692,-0.3,-0.475,1.918,1.109,0.415,0.474,-0.064,4.886,4.691,0.794,0.941,0.916,-1.607,-0.291,-0.174,0.144,0.521,-0.535,2.174,-0.264,-1.34,1.798,1.989,1.262
bz,-0.821,1.218,-0.24,-0.73,-0.432,2.33,-0.582,-0.257,2.207,-0.774,-0.682,-0.027,-0.707,-0.561,0.152,-0.33,0.499,-0.493,-0.535,0.181,1.538,-0.24,-0.08,-0.083,0.208,-0.561,-1.226,-0.858,0.852,-0.182,-0.442
cl,0.279,1.307,1.08,-0.773,-0.422,0.217,-0.241,-1.025,-0.033,-1.065,-0.993,-1.121,-0.869,-0.512,0.0,-0.435,-0.872,-0.679,-0.098,0.283,1.747,0.955,-0.512,-1.381,-0.176,-0.759,-0.371,1.297,-0.907,-1.268,-0.691
cs,-1.738,0.334,-1.229,1.347,-0.35,-0.312,-0.565,-0.648,-0.646,0.256,-1.063,0.146,-0.433,-0.461,-0.695,0.321,-0.475,-0.272,0.0,-0.477,0.33,-0.522,1.299,0.332,2.12,0.924,0.623,1.053,-0.25,-0.069,-0.583
cj,1.105,-0.728,-1.065,-0.359,-0.297,-1.369,2.418,0.213,-1.282,0.607,2.693,1.98,1.854,2.626,0.384,-0.112,1.243,1.541,1.085,-1.093,-1.151,-0.488,-0.708,0.41,-0.714,0.023,0.877,0.003,1.503,1.541,-0.137
ct,0.004,-0.418,0.805,0.308,-0.348,-0.547,0.166,-0.898,-1.01,0.871,0.93,0.246,0.502,-0.489,-0.425,0.663,0.884,0.7,-0.255,-1.037,-1.148,-0.122,-1.049,0.123,-0.74,4.798,0.033,-0.994,0.987,1.042,-0.02
cv,0.921,-0.506,-0.02,-1.217,-0.465,0.686,-0.759,0.061,0.114,-0.331,-0.223,1.453,-0.358,0.284,0.77,-0.673,0.274,-0.338,-0.463,1.16,0.389,-0.386,1.412,-0.439,0.578,1.106,-0.517,-0.498,-0.175,0.447,-0.543
db,0.279,0.245,-0.57,-0.618,-0.382,-0.429,-0.355,-0.801,-0.111,0.014,-0.707,-0.859,-0.919,-0.679,-0.624,0.364,-0.586,-0.422,-0.454,0.831,-0.851,-0.549,-0.498,-0.564,-0.409,-0.492,-1.14,-0.583,0.101,-1.197,-0.579
dj,-0.271,0.643,1.025,-0.649,-0.402,1.861,0.299,-0.532,1.525,-0.067,0.462,0.762,1.569,0.348,-0.354,-0.437,-0.455,-0.18,-0.253,1.153,-0.768,-0.096,-0.864,0.114,-0.885,-0.67,-1.192,-0.943,-0.893,-0.126,0.437
gl,-0.638,-0.595,-0.185,1.664,2.429,1.508,-0.132,-0.259,0.885,1.087,0.398,-0.231,-0.226,0.049,-0.02,-0.23,-0.484,-0.452,-0.203,-0.036,-1.145,0.186,-1.029,-0.486,-0.633,-0.635,-0.355,-0.599,1.085,1.323,-0.255
gr,0.279,2.014,-0.57,-1.115,-0.422,-0.781,0.095,-0.697,-0.383,-1.362,-1.239,-1.735,-0.891,-1.135,-0.717,-0.859,-0.404,-1.052,-0.677,1.399,-0.607,0.314,-0.746,-0.717,1.02,-0.765,-0.178,1.023,-1.601,-1.332,-0.971
gj,-0.913,-0.241,0.09,-0.896,-0.47,-0.077,0.002,0.334,-0.338,1.492,-0.082,0.611,-0.132,-0.189,0.018,-0.151,-1.584,0.641,-0.642,-0.33,-0.489,-0.554,0.003,-0.221,0.961,-0.38,0.115,1.268,-0.529,-1.108,-0.992
hr,0.83,-0.418,0.31,-1.425,-0.45,0.334,-1.021,0.496,0.069,-0.272,0.073,0.102,-0.384,0.238,0.176,-0.759,1.075,-0.275,-0.629,-0.681,0.253,-0.555,4.292,-0.656,0.412,0.091,-0.318,0.094,-0.233,0.403,-0.709
hd,-1.371,0.997,0.695,0.558,-0.4,-0.312,-0.655,4.145,-0.923,3.185,-0.624,1.171,0.173,0.02,-0.598,0.845,1.026,-0.102,-0.026,-0.977,-0.285,-0.513,0.638,-0.192,1.408,-0.319,-0.154,-0.377,0.944,1.893,-0.278
il,0.096,1.174,-0.13,-0.853,-0.428,0.569,-0.563,-0.583,-0.033,-0.752,-0.975,-1.63,-0.774,-0.396,-0.662,-0.808,-0.697,-0.267,-0.628,0.828,1.051,1.882,-0.826,-0.817,-0.264,-0.424,-0.432,0.547,-0.257,-0.868,-0.83
