Siruta,Localitate,Categorie_Max,Categorie_Min
1017,Municipiul Alba Iulia,Femei_45-64,Femei_18-24
1071,Ciugud,Femei_45-64,Barbati_18-24
1151,Oras Abrud,Barbati_45-64,Femei_18-24
1213,Municipiul Aiud,Barbati_45-64,Femei_18-24
1348,Municipiul Blaj,Femei_45-64,Femei_18-24
1455,Oras Campeni,Barbati_45-64,Femei_18-24
1696,Oras Cugir,Femei_45-64,Femei_18-24
1794,Oras Ocna Mures,Barbati_45-64,Femei_18-24
1874,Municipiul Sebes,Femei_45-64,Femei_18-24
1936,Oras Zlatna,Barbati_45-64,Femei_18-24
2130,Albac,Barbati_45-64,Femei_18-24
2309,Almasu Mare,Barbati_45-64,Femei_18-24
2381,Arieseni,Barbati_45-64,Barbati_18-24
2577,Avram Iancu,Barbati_45-64,Femei_18-24
2915,Oras Baia De Aries,Barbati_45-64,Femei_18-24
2988,Berghin,Barbati_45-64,Femei_18-24
3039,Bistra,Barbati_45-64,Barbati_25-34
3397,Blandiana,Barbati_45-64,Femei_18-24
3459,Bucium,Barbati_45-64,Femei_18-24
3761,Cenade,Barbati_45-64,Femei_18-24
3805,Cergau,Barbati_45-64,Barbati_18-24
3841,Ceru-Bacainti,Barbati_45-64,Femei_18-24
3958,Cetatea De Balta,Barbati_45-64,Barbati_18-24
4008,Ciuruleasa,Barbati_45-64,Femei_18-24
4106,Calnic,Barbati_45-64,Femei_18-24
4142,Cricau,Barbati_45-64,Femei_18-24
4188,Craciunelu De Jos,Barbati_45-64,Femei_18-24
4240,Daia Romana,Barbati_45-64,Femei_18-24
4268,Dostat,Barbati_45-64,Femei_18-24
4302,Farau,Barbati_45-64,Femei_25-34
4366,Galda De Jos,Barbati_45-64,Femei_18-24
4482,Garbova,Barbati_45-64,Femei_18-24
4525,Garda De Sus,Barbati_45-64,Femei_18-24
4703,Hoparta,Barbati_45-64,Barbati_18-24
4767,Horea,Barbati_45-64,Femei_18-24
4927,Ighiu,Barbati_45-64,Barbati_18-24
4981,Intregalde,Barbati_45-64,Femei_25-34
5103,Jidvei,Barbati_45-64,Femei_18-24
5167,Livezile,Barbati_45-64,Femei_18-24
5210,Lopadea Noua,Barbati_45-64,Femei_18-24
5309,Lunca Muresului,Barbati_45-64,Femei_18-24
5336,Lupsa,Barbati_45-64,Barbati_18-24
5577,Metes,Barbati_45-64,Femei_18-24
5700,Mihalt,Barbati_45-64,Femei_18-24
5755,Miraslau,Barbati_45-64,Barbati_18-24
5826,Mogos,Barbati_45-64,Barbati_18-24
6048,Noslac,Barbati_45-64,Femei_18-24
6119,Ocolis,Barbati_45-64,Femei_18-24
6164,Ohaba,Femei_65_,Femei_35-44
