Siruta,Localitate,PondereAngajati
32768,Budesti,0.0
49153,Sahateni,0.0
57350,Cojocna,0.00023872045834328001
90119,Lunca Cernii De Jos,0.0
73736,Poiana Mare,0.0001873536299765808
147465,Bunesti,0.0032502708559046588
155662,Bara,0.0
139287,Valea Vinului,0.0
114710,Oras Ludus,0.018289219584232647
122908,Grumazesti,0.008017492711370262
131103,Oras Breaza,0.002624358821424311
40991,Fundata,0.0
98337,Plugari,0.0
8229,Vadu Motilor,0.0
16427,Dobresti,0.0
32811,Caianu Mic,0.0
73772,Predesti,0.0
172082,Pausesti-Maglasi,0.01470221779217543
49206,Sapoca,0.00029171528588098014
24631,Poduri,0.0
163903,Gagesti,0.0
106559,Municipiul Sighetu Marmatiei,0.003782987880847208
139330,Vama,0.002442002442002442
81987,Schela,0.0
98373,Oras Podu Iloaiei,0.006705935659265972
147526,Cacica,0.02480655439235321
16454,Domnesti,0.0006337135614702154
65609,Oras Fieni,0.0036591740721380033
122953,Hangu,0.0
41033,Halchiu,0.003121098626716604
155724,Beba Veche,0.0
49233,Sarulesti,0.0
16472,Dragoslavele,0.10464231354642313
139358,Vetis,0.5224128389596016
90208,Luncoiu De Jos,0.005633802816901409
57449,Cornesti,0.0
65645,Motaieni,0.0
155760,Becicherecu Mic,0.011054958938723942
32884,Cetate,0.10086355785837652
114809,Municipiul Reghin,0.012605591442843319
16506,Draganu,0.0020460358056265983
172153,Perisani,0.0
73852,Radovan,0.012648809523809524
106620,Sarasau,0.00980392156862745
163967,Gherghesti,0.0
82047,Slivilesti,0.0
147580,Calafindesti,0.0
41088,Harman,0.0025793970659358373
139394,Viile Satu Mare,0.0
98435,Popesti,0.00035887313834559486
123013,Icusesti,0.0
24711,Racova,0.0
131210,Oras Busteni,0.002119713334006258
65681,Oras Gaesti,0.008145445067118468
90262,Martinesti,0.0
155797,Belint,0.004232397075798384
41113,Harseni,0.0004426737494466578
106648,Vadu Izei,0.0
49313,Scortoasa,0.0
8354,Valea Lunga,0.0
16551,Godeni,0.005659121171770972
114854,Oras Sovata,0.0030311641564838496
65707,Gura Foii,0.0
73905,Rast,0.0
147633,Oras Cajvana,0.0
131256,Municipiul Campina,0.012881247671262043
32955,Ciceu-Giurgesti,0.0
106684,Oras Baia Sprie,0.06324966356561933
24766,Racaciuni,0.00023869196801527628
