,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
C,0.6567393478392817,0.5996376006948335,-0.3945947001617699,-0.17588687078190274,0.021690393939658156,0.058235737300189064,-0.008615250012920454,0.006446158122924837,-0.006394359261469969,0.018470853828000868,0.015908430177285746,0.022512240254001607,0.019189278335191934,0.006822743228208654,0.02572168467809954,-0.0035957532746817345,-0.012290933669950552,0.0638909562912554,0.00014905736243235533,0.015416820447977401,0.06715683148782757,0.08536572996258195,0.0031522130813441736
C_Test,0.538392296179132,0.26722201196499834,0.5814399912789543,0.2620642508944007,-0.15164134652765407,-0.07532511294566549,0.05460723747542541,0.03398921486828776,0.042387009813019974,-0.1171765887511347,-0.021898328092934714,0.05833723133812448,-0.18546629222321245,-0.25936715498423135,0.27215999701485216,-0.03622544928582624,-0.005808605154074923,0.05128905911923252,0.0022999635379319866,0.00035385739386088,-0.005574015600713841,0.00035976844263138093,0.0025870194794401715
Html,0.7454223800617744,0.46447950104252483,0.31894879861629316,0.17243420997128223,-0.07302896110165129,-0.06360599924586295,0.020771802293239928,-0.020407069498791584,0.08774402640510753,-0.025880298604176274,-0.12546737402668992,-0.09653284837445344,0.030890453603595283,-0.07339022857213512,-0.16287403357513738,0.05572541719554843,0.012618866733432134,-0.059747987483907805,0.019110428072386124,0.11183622737052128,0.022770929037104492,-0.013522966282001676,-0.014471959478578916
Html_test,0.5152315425768821,0.6878386223375738,-0.4152410796981518,-0.21219903149834943,0.04786128445338093,0.0729713808801551,-0.04119177050620003,0.028660416897930637,-0.008578500932677249,0.010326059271496232,0.08568919545605054,0.05605959588458965,-0.007795843249251859,0.05040997243209657,0.09960113654081909,-0.03801825722396441,0.017434697922466293,-0.060565933301797034,0.0130343521069561,0.04101100146575434,-0.01850199367013521,-0.038177483549890284,0.03962456888168402
Java,0.787853690910867,0.5164736292347328,-0.1970638096641588,-0.07952963303314715,-0.005084672786554728,0.09010723147958974,0.051049558756814016,-0.016984428649380587,-0.022188025759412474,-0.007946506286289805,0.00572181765437332,0.003766208071755694,0.006332601364396669,0.02303001162751553,-0.11756732553187266,0.046349489132371226,-0.03626507945679193,0.18364954167879757,0.02041728424402693,-0.017769394739690046,-0.039563264833455535,-0.04227522631454527,-0.00849481889811086
Java_test,0.5915813092077525,0.11013621704223743,0.5119172949747208,0.2035393902942318,-0.11019885715333705,0.08452686003174806,0.07186364274612503,0.003982489112263918,-0.012890211464969992,-0.3124954671872039,0.10427860421821936,0.29322782295860816,0.11058363072003959,0.3071823139501095,-0.01944578022232423,-0.0883531336201156,0.01666041797188668,-0.008796773817831484,-0.005399914891670764,-0.007930631681738243,0.0034998494617890065,0.00522067911825775,-0.0028895077849438017
PHP,0.7958004770726916,0.3957987502376967,0.2714516387876742,0.1262213894518094,-0.07250084214549703,-0.06518875878162397,0.03679608598802287,-0.03518245240728701,0.05704930593817389,-0.007640322111874323,-0.18625159327512514,-0.08406332738595809,0.044101563889230914,-0.1019508836533144,-0.18420163369405973,0.040746938518921465,-0.001962267285494899,-0.06408708840667972,-0.03233282927746459,-0.09624035337680763,-0.013872250076546177,0.016721260779520235,0.020975469193528606
PHP_test,0.5578893670591099,0.6761634488452146,-0.3795867760296298,-0.2172984700978595,0.027422872868589788,0.05259493234716743,-0.03628921585742075,0.024228533094318078,-0.011715334745987599,0.03250760203209422,0.04526342836235587,0.018506139073373912,0.0019949541668469505,-0.03756889337195682,0.10516120175761806,-0.056253996059501196,0.02405198055414078,-0.10152950036266285,-0.026990600066108015,-0.04533484821288229,-0.018051111690590597,-0.011095092741775952,-0.03862728006839713
InternetPenetration,0.7403553852139226,-0.40062782983062883,-0.25766719928381554,0.24542224971145055,0.06814625857557591,-0.2279640981846682,-0.08339684879094379,0.08562238279423635,0.037251491831290874,-0.013103315849588971,0.006837820354908459,-0.11043900363935305,-0.23109107169299,0.08917073917856162,-0.03940490250560298,-0.06698723625675576,0.03888977426751458,0.008626445752938474,-0.006805645473224924,-0.03031095596133454,0.09230669076639049,-0.03973620128103699,0.0004217789786349875
InternetUsers,0.7469593562746467,-0.40403597014259934,-0.24188984157855636,0.22740320303698788,0.022986500275677897,-0.22031140393030443,-0.12788684436913514,0.07860932556701944,0.030426718797117745,-0.016576275210764945,0.034639682689906005,-0.12541814263914683,-0.21856514795506962,0.11349843182919081,-0.04098459130063337,-0.06226727632687786,-0.038225082736072044,-0.01682225350964391,0.010333175988162155,0.02736780216847839,-0.09108719132197847,0.04177875318206265,-0.0013327616183958526
