Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,15.0,23.0,0.10935250343587255,2.0
1,13.0,19.0,0.22665316983409195,2.0
2,5.0,20.0,0.2989582159108161,2.0
3,8.0,9.0,0.31853841189346455,2.0
4,10.0,17.0,0.3407156884153109,2.0
5,4.0,11.0,0.4263259470896674,2.0
6,1.0,30.0,0.4318043446939811,3.0
7,7.0,27.0,0.5013545595605766,3.0
8,2.0,34.0,0.5135626748195223,4.0
9,3.0,24.0,0.5843004822428913,2.0
10,16.0,36.0,0.6365536312126869,3.0
11,6.0,33.0,0.6820178590505684,4.0
12,0.0,28.0,0.7217161280170129,3.0
13,14.0,18.0,0.8136136967398715,2.0
14,26.0,32.0,0.9995568896244387,3.0
15,21.0,37.0,1.067929386222606,4.0
16,22.0,29.0,1.2589344614274376,3.0
17,31.0,38.0,1.2818435232167216,6.0
18,25.0,40.0,1.5042803392363286,3.0
19,39.0,44.0,1.7218680999567155,9.0
20,35.0,42.0,1.842117643132377,8.0
21,41.0,45.0,2.189648987467349,6.0
22,12.0,43.0,2.3439943701024366,4.0
23,46.0,48.0,3.1206145737118622,15.0
24,47.0,49.0,3.6659830199687367,12.0
25,50.0,51.0,7.177821218162277,27.0
