Observatii,Cluster,Silhouette
Austria,1,0.20454758403887938
Belgium,1,0.6076530461734948
Bulgaria,2,0.4418790055118453
Croatia,2,0.477544011392473
Cyprus,1,0.32243254516126
Czech Republic,2,0.5398158096935789
Denmark,1,0.5536177442712592
Estonia,2,0.36046716322092237
Finland,1,0.6044933333952169
France,1,0.6129594296470817
Germany,1,0.5132885446948074
Greece,1,0.21115769788067337
Hungary,2,0.35862830818361685
Ireland,1,0.3779279532612819
Italy,1,0.5206395738648956
Latvia,2,0.44686649470580525
Lithuania,2,0.36605627919549283
Luxembourg,1,0.4981022542646124
Malta,1,0.2925276512633006
Netherlands,1,0.43879739968677023
Poland,2,0.5514081591221877
Portugal,2,-0.014932186627930236
Romania,2,0.37885606455776893
Slovakia,2,0.47411777019261686
Slovenia,2,0.36078244031443035
Spain,1,0.4919175896029749
Sweden,1,0.45715566466992963
