EU Country,House Price Index (Reference 2015 = 100),Government revenue from property tax (million euro),HICP Inflation rate (%),Unemployment rate (Percentage of labour force),Income tax + social contributions rate (%),Median household net income (euro),Rate of total population change (%),Harmonised long term interest rates for a term to maturity of 10 years
Austria,-0.031090979176202554,-0.1313525636492036,0.21587307842704984,-0.29378628350569863,0.6580123786340718,1.2393774216230722,0.03978362495046481,-0.6768346890636999
Belgium,-0.7525274138648083,-0.021085999005052952,-1.3986490811938028,-0.10233161602470202,1.8142793228203837,0.9920534760809112,0.22803809765421063,-0.558528355896239
Bulgaria,0.5691921780257893,-0.611873422826405,0.48989748166545105,-0.6541715399405166,-0.9601286390165416,-1.2577125601514696,-0.6467915107926084,-0.3439085335475761
Croatia,0.39190106722102536,-0.702879020200278,0.41583683214155925,0.12666318233492252,0.30369802090803316,-0.9222017944808232,-0.2924301504090868,0.43721661492989006
Cyprus,-1.425659201279657,-0.785575410857406,-0.9172548592885028,0.036566868226217526,-2.265081072605745,-0.020291134075859838,0.9146132333972841,0.24003939298412164
Czech Republic,1.2227410003296548,-0.24034731093875056,1.5045283801427765,-1.416236196776642,-1.3381694046260195,-0.5430986802239369,0.1283739650463452,0.674587655195373
Denmark,-0.7251112627094328,0.01949910591074889,-1.0727822232886768,-0.29003227041783536,1.1894839152231294,1.4855990319136272,-0.08202809268137083,-0.9028301203707726
Estonia,0.857714530660936,-0.7587118020673854,0.7022046769672757,0.3031017974644692,-1.5216536255912894,-0.3990936114459444,0.09515258751039007,-0.6434662361190314
Finland,-1.5525568151988254,0.556969119966321,-0.7913517550978859,0.6597330408114243,0.4919275234499907,0.8288076465476129,0.17266913509428536,-0.6738011933414574
France,-0.877597284373619,1.840529588144311,-0.4087050658911089,0.7085352109536388,-0.14868548940289075,0.5114353063806663,-0.23706118784916155,-0.6154064006882876
Germany,-0.41961700697810095,3.63038641388614,-0.28280196170049254,-1.2360435685592326,1.4172574309041537,0.7213800656638216,-1.8206135170630244,-0.9642584087461851
Greece,-1.563262169459496,-0.5284563356683348,-0.8481315863995366,2.382825048140401,-0.5852513944581883,-0.90346209520352,-0.7907508134484141,1.618763198743377
Hungary,2.8113111301325793,-0.22248534275853704,3.104238409858848,-0.7630379194885343,0.7956255443580238,-1.167120644928571,-0.7907508134484141,1.509557352742645
Ireland,0.10755641380955563,-0.5453432438766854,-0.5395455467166519,-0.6541715399405166,-0.08066978680369592,1.1704313622498927,0.8924656483733138,-0.431879909492611
Italy,-1.4770971229711718,1.423783303648521,-0.3099575331925862,0.8699577737317344,-0.11863203941720035,0.07450969756226186,-0.6246439257686384,1.040123889725604
Latvia,0.6793789950502525,-0.7329645662886282,0.7268915601419056,0.3331339021673706,-0.21037414989983502,-0.7768939658600235,-1.2669238914637715,-0.4227794223258833
Lithuania,1.2880175506995974,-0.7299828611572793,0.5688955078242692,0.48704843876974124,1.4773643308755355,-0.780802245388445,0.49380911794185195,-0.4523560056177485
Luxembourg,0.172571857978018,-0.6263862719728286,-1.2159661457015352,-0.2374760871877583,0.7497544891167065,2.8621151242828025,1.2579008012688204,-0.8444353277176028
Malta,-0.2989859418944476,-0.789885458559119,-0.4358606373832031,-1.0258188356389224,-0.5725973102536867,-0.01357691027062289,3.671987568881562,-0.12170497189330658
Netherlands,0.4801549633211877,0.12257283684941801,-0.8431942097646108,-0.9995407440238838,-0.1771571788630188,1.0237205614906855,0.2058905126302406,-0.7981745179534033
Poland,0.3892900052062278,0.3629604481734791,1.168786768967796,-1.3261398826679371,-0.7766444180512716,-0.9012574247003079,-1.0122266636881152,1.4018682546030332
Portugal,1.0676439166506713,-0.5279193461186131,-0.5148586635420213,0.36692001995813445,0.012654084204501663,-0.7266876057641473,0.6709897981336127,-0.04510920490668131
Romania,-0.42927793643285256,-0.3656778455829865,0.8182330278880405,-0.09482358984897588,1.3350058835748941,-1.2533032191450453,-0.558201170696728,3.396391691977532
Slovakia,0.26657009051073594,-0.633889994364991,1.193473652142429,0.029058842050492174,-0.6595941391596336,-0.9882416972815866,-0.7021604733525337,-0.5092340504097971
Slovenia,0.5574423989591999,-0.712898114693768,0.06528309106180148,-0.9544925869695314,0.9063487811474112,-0.10246521646831205,-0.24813498036114662,-0.48420771070129565
Spain,-0.44859979534235583,1.2509574564618027,-1.0752509116061397,2.893370828089725,-1.0139084968856724,-0.07661044420336977,0.5934732505497174,-0.13232220692115557
Sweden,-0.8601031688744739,0.4600566375455104,-0.3198322864624382,0.8511877082924216,-0.7228645601821408,-0.07661044420336977,-0.2924301504090868,-0.6973107851888373
