Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,12.0,17.0,5223.092503728036,2.0
1,5.0,23.0,8933.806034966285,2.0
2,10.0,24.0,9406.363091546062,2.0
3,13.0,14.0,12756.782879644852,2.0
4,27.0,32.0,16225.094305041803,3.0
5,6.0,28.0,18584.462701396562,2.0
6,3.0,25.0,19183.71737344199,2.0
7,1.0,31.0,19412.135020715778,2.0
8,7.0,21.0,22118.773194336525,2.0
9,2.0,16.0,24861.34607217397,2.0
10,0.0,19.0,26818.40102247895,2.0
11,33.0,35.0,29000.81005084168,4.0
12,26.0,29.0,46460.715504524895,2.0
13,39.0,41.0,46751.557256429965,4.0
14,37.0,38.0,54136.2324633886,4.0
15,36.0,43.0,55864.27648211154,7.0
16,40.0,45.0,63414.705546850484,6.0
17,42.0,44.0,65881.22727817424,4.0
18,34.0,47.0,81841.77392587073,9.0
19,15.0,46.0,82386.83642558251,5.0
20,18.0,49.0,107632.95194602077,5.0
21,50.0,51.0,133703.7740221012,14.0
22,8.0,20.0,148629.1840738904,2.0
23,48.0,52.0,156267.82786109523,11.0
24,11.0,30.0,188538.47365977083,2.0
25,22.0,54.0,208908.06493326995,3.0
26,9.0,56.0,272358.21572763816,3.0
27,53.0,55.0,363549.5627731895,25.0
28,57.0,58.0,566642.8821175784,6.0
29,4.0,60.0,1038456.5785326012,7.0
30,59.0,61.0,2135624.6656780327,32.0
