cluster1,cluster2,distanta,frecventa
3.0,8.0,4.066939881532552,2.0
1.0,19.0,4.8114446894877645,2.0
23.0,24.0,5.961543424315552,2.0
16.0,17.0,6.462971452822616,2.0
14.0,21.0,8.845337754998395,2.0
11.0,12.0,9.009994450608723,2.0
2.0,27.0,9.461148626532266,3.0
0.0,25.0,11.209222393487725,3.0
7.0,9.0,11.997916485790354,2.0
4.0,29.0,12.399462353935625,3.0
6.0,10.0,12.429400629153442,2.0
22.0,31.0,14.634434279010128,4.0
15.0,26.0,14.693649421887448,3.0
20.0,35.0,14.760871699643396,3.0
30.0,34.0,16.21953554616572,5.0
18.0,39.0,18.74433247677815,6.0
5.0,28.0,20.678894232203678,3.0
32.0,33.0,22.003802701654394,5.0
37.0,38.0,22.473465835661987,6.0
36.0,41.0,38.36909718833139,7.0
42.0,44.0,52.9984752700715,12.0
40.0,43.0,59.82142871357499,12.0
45.0,46.0,173.6639763067363,24.0
13.0,47.0,221.38310414302174,25.0
